序号,代码,名称,最新价(元) 2026.06.25,涨跌幅(%) 2026.06.25,证券类型,股票简称,成交额(元) 2026.06.25,申万行业分类,东财行业总分类,概念,涨跌额(元) 2026.06.25,最高价(元) 2026.06.25,最低价(元) 2026.06.25,换手率(%) 2026.06.25,量比 2026.06.25,成交量(股) 2026.06.25,市盈率(动)(倍) 2026.06.25,市净率(倍) 2026.06.25,总市值(元) 2026.06.25,流通市值(元) 2026.06.25
11,600522,中天科技,68.10,10.00,A股,中天科技,208.66亿,通信-通信设备-通信线缆及配套,通信-通信设备-通信线缆及配套,国产芯片、海工装备、数字经济、上证180_、3D打印、铜缆高速连接、东方财富热股、趋势股、空芯光纤、碳纤维、OLED、央视50_、富时罗素、物联网、阿里概念、机器人概念、数据要素、题材股、中越经济一体化、融资融券、低空经济、液冷概念、商业航天、绿色电力、半导体概念、特高压、PCB、数据中心、光伏概念、铁路基建、超导概念、光纤概念、智能电网、石墨烯、海洋经济、长江三角、碳中和、大数据、光纤光缆、数据中心液冷、5G概念、东数西算、昨日高振幅、证金持股、光通信模块、新能源车、钙钛矿电池、工业互联、标准普尔、航运概念、华为概念、通信技术、创投、电池技术、HS300_、固态电池、储能概念、核能核电、CPO概念、DeepSeek概念、超级电容、科技风格、海底电缆、MSCI中国、电网概念、量子科技、6G概念、充电桩、沪股通、参股券商、大盘股、PET铜箔、新能源、氢能源、系统集成、新材料、可控核聚变、一带一路、锂电池概念、中欧经济一体化、阿里系算力、风能、参股银行、汽车电子、柔性直流输电,6.190,68.10,61.81,9.26,1.04,3.16亿,63.23,6.1143,2324.22亿,2324.22亿
12,600487,亨通光电,123.00,3.34,A股,亨通光电,196.23亿,通信-通信设备-通信线缆及配套,通信-通信设备-通信线缆及配套,国产芯片、海工装备、东方财富热股、趋势股、大盘成长、量子通信、无人驾驶、富时罗素、物联网、机器人概念、题材股、军工、融资融券、液冷概念、F5G概念、特高压、网络安全、数据中心、光纤概念、智能电网、长江三角、大数据、光纤光缆、5G概念、光通信模块、新能源车、水利建设、标准普尔、华为概念、通信技术、创投、CPO概念、毫米波概念、DeepSeek概念、科技风格、海底电缆、MSCI中国、电网概念、量子科技、6G概念、沪股通、智慧城市、大盘股、小米汽车、人形机器人、一带一路、太赫兹、风能、柔性直流输电,3.980,124.77,117.15,6.61,0.86,1.62亿,68.61,9.5588,3033.66亿,3007.57亿
13,300059,东方财富,21.11,4.61,A股,东方财富,189.16亿,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,区块链、周期股、鸿蒙概念、深证100R、参股期货、证金持股、互联网保险、深成500、东方财富热股、HS300_、互联网金融、AI应用、DeepSeek概念、人工智能、富时罗素、金融地产风格、网红经济、MSCI中国、数据要素、权重股、融资融券、深股通、虚拟机器人、AIGC概念、券商概念、大盘股、互联网服务、国产软件、茅指数、创业板综、长江三角、大数据,0.930,21.57,20.04,6.77,1.28,9.04亿,22.34,3.5428,3340.07亿,2818.88亿
14,002475,立讯精密,74.42,-0.84,A股,立讯精密,187.57亿,电子-消费电子-消费电子零部件及组装,电子-消费电子-消费电子零部件及组装,国产芯片、周期股、DAC无源铜缆、深证100R、贬值受益、3D摄像头、深圳特区、深成500、铜缆高速连接、东方财富热股、智能穿戴、大盘成长、CDU、无人驾驶、富时罗素、无线充电、机器人概念、融资融券、液冷概念、昨日触板、商业航天、苹果概念、智能音箱、数据中心、昨日炸板、无线耳机、粤港澳大湾区、5G概念、昨日高振幅、电子烟、证金持股、转债标的、光通信模块、新能源车、标准普尔、华为概念、通信技术、消费电子概念、HS300_、智能家居、CPO概念、毫米波概念、混合现实、科技风格、HUD抬头显示、MSCI中国、权重股、AI眼镜、深股通、充电桩、虚拟现实、智能座舱、华为手机、大盘股、机器视觉、人形机器人、茅指数、海峡两岸、汽车电子,-0.630,75.80,73.18,3.46,1.01,2.52亿,37.20,6.1641,5446.25亿,5433.80亿
15,688981,中芯国际,156.86,3.52,A股,中芯国际,184.71亿,电子-半导体-集成电路制造,电子-半导体-集成电路制造,国产芯片、权重股、融资融券、行业龙头、上证180_、国家大基金持股、沪股通、半导体概念、存储芯片、大盘股、消费电子概念、HS300_、上证50_、中芯概念、科创板做市股、茅指数、中国AI 50、科技风格、OLED、物联网、MSCI中国、汽车电子、上海自贸,5.330,158.66,151.00,5.93,1.06,1.19亿,246.62,8.9638,1.34万亿,3136.51亿
16,300476,胜宏科技,350.16,1.96,A股,胜宏科技,181.28亿,电子-元件-印制电路板,电子-元件-印制电路板,国产芯片、粤港澳大湾区、5G概念、周期股、东数西算、深证100R、乡村振兴、AIPC、贬值受益、新能源车、深成500、小米概念、通信技术、HS300_、大盘成长、摩尔链、CPO概念、OLED、科技风格、富时罗素、富士康概念、2025年报预增、物联网、MSCI中国、机器人概念、AI手机、融资融券、行业龙头、深股通、虚拟现实、大盘股、PCB、数据中心、英伟达概念、光伏概念、人形机器人、智能电网、海峡两岸、创业板综、汽车电子、特斯拉概念,6.730,355.00,337.58,6.02,1.14,5205.57万,66.77,21.9697,3441.32亿,3029.57亿
17,301308,江波龙,677.30,9.25,A股,江波龙,180.14亿,电子-半导体-数字芯片设计,电子-半导体-数字芯片设计,国产芯片、专精特新、深证100R、AIPC、贬值受益、国家大基金持股、长江存储、存储芯片、深成500、小米概念、华为概念、东方财富热股、智能穿戴、消费电子概念、HS300_、AI手机结构件、信创、科技风格、2025年报预增、MSCI中国、AI手机、机器人概念、华为鲲鹏、数据安全、融资融券、AI眼镜、深股通、智能座舱、半导体概念、大盘股、先进封装、数据中心、长鑫存储、小米汽车、创业板综、DRAM存储、EDR概念,57.320,688.80,640.00,9.57,1.17,2697.07万,18.55,24.0667,2865.39亿,1908.98亿
18,001309,德明利,891.00,10.00,A股,德明利,176.68亿,电子-半导体-数字芯片设计,电子-半导体-数字芯片设计,国产芯片、光芯片、粤港澳大湾区、专精特新、5G概念、AIPC、昨日高振幅、2026一季报扭亏、贬值受益、长江存储、存储芯片、深成500、通信技术、东方财富热股、智能穿戴、大盘成长、信创、中芯概念、百日新高 、CPO概念、人工智能、科技风格、2025年报预增、MSCI中国、题材股、融资融券、深股通、近期新高、中证500、半导体概念、大盘股、数据中心、历史新高 、汽车电子,81.000,891.00,829.19,12.58,1.21,2028.89万,15.10,30.5161,2021.19亿,1437.42亿
19,300136,信维通信,116.73,13.20,A股,信维通信,170.88亿,电子-消费电子-消费电子零部件及组装,电子-消费电子-消费电子零部件及组装,国产芯片、中盘股、贬值受益、深圳特区、深成500、智能穿戴、央视50_、富时罗素、无线充电、MLCC、物联网、机器人概念、低空经济、融资融券、无人机、商业航天、苹果概念、智能音箱、被动元件概念、卫星导航、无线耳机、粤港澳大湾区、5G概念、昨日高振幅、电子烟、车联网、柔性屏、华为概念、通信技术、消费电子概念、越疆机器人、毫米波概念、混合现实、科技风格、富士康概念、MSCI中国、卫星互联网、6G概念、AI眼镜、深股通、虚拟现实、卫星通信、中证500、UWB概念、一带一路、海峡两岸、创业板综、WiFi6、WiFi、汽车电子、特斯拉概念,13.610,117.56,102.30,18.90,1.33,1.56亿,269.20,14.1624,1129.44亿,963.26亿
20,300475,香农芯创,306.25,5.75,A股,香农芯创,170.08亿,电子-其他电子Ⅱ-其他电子Ⅲ,电子-其他电子Ⅱ-其他电子Ⅲ,国产芯片、粤港澳大湾区、中盘股、融资融券、东数西算、行业龙头、深股通、贬值受益、抖音概念、中盘成长、中证500、半导体概念、存储芯片、深成500、芯片分销、数据中心、腾讯概念、高带宽内存、2026一季报预增、创业板综、科技风格、2025年报预增、MSCI中国、阿里概念,16.650,313.80,291.02,12.47,1.13,5613.90万,27.08,29.1454,1437.97亿,1378.23亿
21,002156,通富微电,77.81,4.25,A股,通富微电,162.73亿,电子-半导体-集成电路封测,电子-半导体-集成电路封测,国产芯片、AIPC、昨日高振幅、贬值受益、国家大基金持股、第三代半导体、存储芯片、标准普尔、深成500、华为概念、通信技术、东方财富热股、智能穿戴、消费电子概念、创投、大盘成长、CPO概念、毫米波概念、科技风格、富时罗素、2025年报预增、物联网、MSCI中国、华为海思、移动支付、融资融券、深股通、智能座舱、半导体概念、先进封装、大盘股、碳化硅、玻璃基板、比亚迪概念、海峡两岸、汽车芯片、长江三角、传感器、汽车电子、特斯拉概念,3.170,79.38,74.00,13.86,1.18,2.10亿,89.71,7.6009,1180.84亿,1180.73亿
22,002463,沪电股份,154.99,8.12,A股,沪电股份,157.22亿,电子-元件-印制电路板,电子-元件-印制电路板,国产芯片、5G概念、周期股、深证100R、贬值受益、新能源车、标准普尔、深成500、华为概念、通信技术、趋势股、污水处理、HS300_、大盘成长、2026一季报预增、毫米波概念、无人驾驶、科技风格、富时罗素、MSCI中国、融资融券、深股通、台资控股、大盘股、PCB、数据中心、海峡两岸、服务器PCB、汽车电子、通信PCB,11.640,156.33,140.00,5.43,1.22,1.04亿,60.03,18.8440,2982.57亿,2980.16亿
23,600703,三安光电,21.67,-0.64,A股,三安光电,150.53亿,电子-光学光电子-LED,电子-光学光电子-LED,国产芯片、LED概念、周期股、数字经济、国家大基金持股、氮化镓、东方财富热股、大盘成长、无人驾驶、富时罗素、题材股、融资融券、低空经济、华为汽车、太空光伏、商业航天、金属回收、半导体概念、碳化硅、苹果概念、先进封装、数据中心、光伏概念、卫星导航、汽车芯片、MiniLED、光芯片、5G概念、昨日高振幅、光通信模块、新能源车、第三代半导体、标准普尔、小米概念、最近多板、通信技术、消费电子概念、巨量转移、MicroLED、百日新高 、荣耀概念、CPO概念、科技风格、MSCI中国、安防概念、福建自贸区、宁组合、AI眼镜、近期新高、充电桩、沪股通、大盘股、蓝宝石、MicroLED芯片、比亚迪概念、海峡两岸、植物照明,-0.140,22.88,21.09,13.77,1.89,6.87亿,400.46,3.0978,1081.12亿,1081.12亿
24,601899,紫金矿业,25.92,-6.26,A股,紫金矿业,150.37亿,有色金属-工业金属-铜,有色金属-工业金属-铜,周期股、上证180_、证金持股、贬值受益、金属钴、黄金加工、标准普尔、黄金开采、金属锌、HS300_、盐湖提锂、央国企改革、金属铅、小金属概念、富时罗素、2025年报预增、MSCI中国、黄金概念、金属铜、福建自贸区、权重股、稀缺资源、融资融券、行业龙头、沪股通、大盘股、氢能源、铜矿、上证50_、一带一路、锂电池概念、锂矿概念,-1.730,26.76,25.73,2.80,1.64,5.76亿,8.58,3.6376,6892.31亿,5339.98亿
25,601138,工业富联,76.99,0.27,A股,工业富联,149.51亿,电子-消费电子-消费电子零部件及组装,电子-消费电子-消费电子零部件及组装,国产芯片、数据中心液冷、区块链、5G概念、两岸合作、东数西算、上证180_、新能源车、车联网、工业互联、标准普尔、深圳特区、新型工业化、东方财富热股、创投、HS300_、UQD连接器、算力租赁、CPO概念、独角兽、人工智能、科技风格、富时罗素、富士康概念、2025年报预增、物联网、MSCI中国、阿里概念、机器人概念、云计算、权重股、融资融券、医疗器械概念、行业龙头、液冷概念、算力概念、虚拟现实、沪股通、智慧城市、大盘股、苹果概念、数据中心、英伟达概念、海峡两岸、大数据,0.210,77.70,74.85,0.99,0.73,1.96亿,36.05,8.6699,1.53万亿,1.53万亿
26,600176,中国巨石,70.80,9.23,A股,中国巨石,148.77亿,建筑材料-玻璃玻纤-玻纤制造,建筑材料-玻璃玻纤-玻纤制造,周期股、昨日高振幅、上证180_、标准普尔、最近多板、东方财富热股、HS300_、2026一季报预增、央国企改革、百日新高 、DeepSeek概念、中字头、富时罗素、PEEK材料概念、MSCI中国、题材股、融资融券、行业龙头、近期新高、昨日首板、养老金、沪股通、电子布、大盘股、PCB、光伏概念、新材料、历史新高 、一带一路、中欧经济一体化、风能、长江三角,5.980,71.30,65.66,5.37,1.06,2.15亿,55.92,8.9880,2834.22亿,2834.22亿
27,300285,国瓷材料,98.40,7.28,A股,国瓷材料,147.38亿,电子-电子化学品Ⅱ-电子化学品Ⅲ,电子-电子化学品Ⅱ-电子化学品Ⅲ,国产芯片、中盘股、5G概念、新能源车、3D打印、深成500、节能环保、宁德时代概念、电池技术、趋势股、消费电子概念、固态电池、CPO概念、科技风格、富时罗素、牙科医疗、MLCC、题材股、融资融券、深股通、中盘成长、中证500、商业航天、蓝宝石、被动元件概念、氢能源、新材料、卫星导航、比亚迪概念、锂电池概念、创业板综,6.680,100.98,87.00,18.00,1.04,1.54亿,172.40,13.7969,981.10亿,840.01亿
28,002281,光迅科技,261.46,-1.84,A股,光迅科技,145.59亿,通信-通信设备-通信网络设备及器件,通信-通信设备-通信网络设备及器件,国产芯片、光芯片、5G概念、东数西算、OCS交换机、光通信模块、抖音概念、标准普尔、深成500、华为概念、通信技术、东方财富热股、大盘成长、腾讯概念、央国企改革、百度概念、CPO概念、量子通信、科技风格、富时罗素、MSCI中国、阿里概念、量子科技、激光雷达、6G概念、融资融券、液冷概念、深股通、字节系算力、量子测量、中证500、F5G概念、大盘股、先进封装、华为系算力、数据中心、一带一路、光纤概念、6G元器件、湖北三资改革、湖北自贸,-4.900,271.12,256.00,7.11,1.13,5548.57万,225.46,15.6508,2163.75亿,2040.69亿
29,300408,三环集团,163.62,12.64,A股,三环集团,139.15亿,电子-元件-被动元件,电子-元件-被动元件,5G概念、周期股、深证100R、证金持股、燃料电池概念、光通信模块、深成500、华为概念、小米概念、通信技术、智能穿戴、电池技术、趋势股、消费电子概念、HS300_、大盘成长、CPO概念、科技风格、富时罗素、MLCC、MSCI中国、融资融券、深股通、大盘股、被动元件概念、数据中心、新材料、光纤概念、创业板综、SOFC,18.360,165.00,147.00,4.75,1.19,8879.11万,99.12,14.5602,3135.77亿,3059.37亿
30,002008,大族激光,152.80,0.37,A股,大族激光,132.64亿,机械设备-自动化设备-激光设备,机械设备-自动化设备-激光设备,国产芯片、火箭发射、中盘股、钙钛矿设备、3D打印、深圳特区、深成500、存储芯片、宁德时代概念、新型工业化、东方财富热股、OLED、央视50_、富时罗素、物联网、机器人概念、MicroLED设备、融资融券、中盘成长、商业航天、半导体概念、苹果概念、先进封装、PCB、光伏概念、玻璃基板、光纤概念、先进封装材料、机器人执行器、MiniLED、粤港澳大湾区、工业母机、昨日高振幅、证金持股、新能源车、钙钛矿电池、第三代半导体、标准普尔、先进制造风格、华为概念、TOPCON电池、小米概念、电池技术、消费电子概念、固态电池、巨量转移、MicroLED、光刻机/胶、混合现实、富士康概念、MSCI中国、AI眼镜、深股通、中证500、蓝箭航天、银河通用、机器视觉、锂电池概念、HJT电池、比亚迪概念、3D打印设备、高端装备、先进封装设备、电池设备、减速器、TOPCon电池、特斯拉概念,0.570,156.60,147.80,9.13,0.84,8735.76万,111.08,7.6884,1573.23亿,1461.88亿
31,600183,生益科技,187.20,5.58,A股,生益科技,131.80亿,电子-元件-印制电路板,电子-元件-印制电路板,国产芯片、5G概念、周期股、昨日高振幅、上证180_、光通信模块、新能源车、存储芯片、标准普尔、华为概念、通信技术、东方财富热股、趋势股、HS300_、大盘成长、2025三季报预增、毫米波概念、CPO概念、科技风格、富时罗素、2025年报预增、MSCI中国、题材股、融资融券、沪股通、商业航天、大盘股、先进封装、PCB、上证50_、先进封装材料、汽车电子、MiniLED,9.900,188.00,175.18,2.99,0.77,7154.99万,98.16,28.4483,4547.31亿,4482.51亿
32,300750,宁德时代,401.90,1.65,A股,宁德时代,129.00亿,电力设备-电池-锂电池,电力设备-电池-锂电池,钠离子电池、周期股、深证100R、新能源车、深成500、宁德时代概念、先进制造风格、华为概念、长安汽车概念、电池技术、HS300_、固态电池、储能概念、蚂蚁概念、富时罗素、MSCI中国、动力电池回收、宁组合、权重股、融资融券、行业龙头、华为汽车、深股通、大盘股、麒麟电池、小米汽车、换电概念、锂电池概念、茅指数、创业板综、锂矿概念、特斯拉概念,6.540,402.55,392.58,0.76,0.83,3240.46万,22.42,5.6895,1.86万亿,1.71万亿
33,300223,北京君正,237.36,20.00,A股,北京君正,126.58亿,电子-半导体-数字芯片设计,电子-半导体-数字芯片设计,国产芯片、中盘股、区块链、鸿蒙概念、贬值受益、抖音概念、CPU、3D打印、存储芯片、深成500、小米概念、智能穿戴、消费电子概念、京津冀一体化、SRAM存储、智能家居、毫米波概念、人工智能、无人驾驶、OLED、科技风格、富时罗素、MCU芯片、物联网、MSCI中国、人脸识别、机器人概念、安防概念、融资融券、AI眼镜、深股通、超清视频、智能座舱、中证500、半导体概念、智能音箱、机器视觉、3D打印设备、创业板综、汽车芯片、传感器、汽车电子、DRAM存储、MiniLED,39.560,237.36,206.00,13.38,1.12,5643.67万,89.98,9.0556,1148.03亿,1000.93亿
34,603019,中科曙光,97.82,10.00,A股,中科曙光,125.37亿,计算机-计算机设备-其他计算机设备,计算机-计算机设备-其他计算机设备,国产芯片、区块链、数字经济、上证180_、冷却液、抖音概念、新型工业化、AI智能体、东方财富热股、大盘成长、腾讯概念、边缘计算、独角兽、中国AI 50、国产操作系统、量子通信、中字头、富时罗素、融资融券、液冷概念、网络安全、数据中心、Web3.0、智能电网、智能医疗、大数据、数据中心液冷、东数西算、工业互联、标准普尔、创投、HS300_、信创、VPN、算力租赁、百度概念、央国企改革、DeepSeek概念、人工智能、科技风格、MSCI中国、量子科技、云计算、数据安全、数字孪生、雄安新区、算力概念、沪股通、智慧城市、大盘股、上证50_、一带一路、中特估、智谱AI,8.890,97.82,92.16,9.00,2.57,1.32亿,157.04,6.5055,1431.22亿,1431.16亿
35,600584,长电科技,104.17,10.00,A股,长电科技,123.21亿,电子-半导体-集成电路封测,电子-半导体-集成电路封测,国产芯片、IGBT概念、昨日高振幅、上证180_、国家大基金持股、贬值受益、第三代半导体、存储芯片、标准普尔、最近多板、通信技术、东方财富热股、智能穿戴、消费电子概念、HS300_、中芯概念、高带宽内存、央国企改革、CPO概念、毫米波概念、人工智能、无人驾驶、科技风格、富时罗素、物联网、MSCI中国、机器人概念、华为海思、融资融券、沪股通、绿色电力、半导体概念、先进封装、大盘股、苹果概念、玻璃基板、新材料、生物识别、汽车芯片、先进封装设备、长江三角、汽车电子,9.470,104.17,99.99,6.69,0.51,1.20亿,160.54,6.5205,1864.03亿,1864.03亿
36,002428,云南锗业,130.10,5.70,A股,云南锗业,123.04亿,有色金属-小金属-其他小金属,有色金属-小金属-其他小金属,国产芯片、中盘股、西部大开发、昨日高振幅、光通信模块、第三代半导体、深成500、华为概念、最近多板、通信技术、东方财富热股、昨日高换手、百日新高 、小金属概念、富时罗素、题材股、军工、稀缺资源、融资融券、深股通、近期新高、中盘成长、2025年报预减、商业航天、金属回收、半导体概念、光伏概念、氟化工概念、历史新高 、卫星导航、光纤概念,7.010,132.88,123.09,14.53,0.99,9490.93万,2332.54,57.8350,849.71亿,849.60亿
37,002185,华天科技,22.40,6.77,A股,华天科技,120.77亿,电子-半导体-集成电路封测,电子-半导体-集成电路封测,国产芯片、中盘股、5G概念、西部大开发、昨日高振幅、国家大基金持股、第三代半导体、氮化镓、存储芯片、标准普尔、深成500、华为概念、通信技术、东方财富热股、昨日高换手、高带宽内存、CPO概念、毫米波概念、人工智能、无人驾驶、富时罗素、物联网、MSCI中国、机器人概念、华为海思、融资融券、深股通、智能座舱、中证500、半导体概念、先进封装、比亚迪概念、先进封装材料、汽车芯片、传感器、汽车电子,1.420,22.65,20.73,16.50,1.07,5.48亿,214.45,4.1719,744.45亿,744.27亿
38,300433,蓝思科技,55.72,5.29,A股,蓝思科技,120.35亿,电子-消费电子-消费电子零部件及组装,电子-消费电子-消费电子零部件及组装,深证100R、AIPC、贬值受益、3D打印、深成500、宁德时代概念、新型工业化、智能穿戴、趋势股、太空算力、蚂蚁概念、OLED、富时罗素、机器人概念、融资融券、人脑工程、光伏玻璃、液冷概念、太空光伏、商业航天、苹果概念、先进封装、光伏概念、玻璃基板、光纤概念、无线耳机、电子烟、元宇宙概念、新能源车、灵巧手、工业互联、柔性屏、华为概念、小米概念、TOPCON电池、消费电子概念、HS300_、AI手机结构件、越疆机器人、智能家居、荣耀概念、混合现实、科技风格、MSCI中国、AI手机、AI眼镜、充电桩、深股通、虚拟现实、智能座舱、大盘股、蓝宝石、新材料、人形机器人、小米汽车、比亚迪概念、创业板综、减速器、智能物流、传感器、汽车电子、3D玻璃、特斯拉概念,2.800,58.50,52.82,4.31,1.04,2.14亿,-491.53,5.3856,2941.31亿,2769.12亿
39,000021,深科技,53.20,5.83,A股,深科技,119.22亿,电子-消费电子-消费电子零部件及组装,电子-消费电子-消费电子零部件及组装,国产芯片、中盘股、区块链、昨日高振幅、数字经济、贬值受益、新能源车、光通信模块、第三代半导体、存储芯片、标准普尔、深圳特区、深成500、最近多板、东方财富热股、消费电子概念、储能概念、央国企改革、百日新高 、CPO概念、超级电容、富时罗素、物联网、MSCI中国、电网概念、机器人概念、医疗器械概念、融资融券、深股通、近期新高、虚拟电厂、昨日首板、无人机、中证500、半导体概念、先进封装、历史新高 、智能电网、先进封装材料、智能物流、DRAM存储、汽车电子,2.930,54.27,52.00,14.26,1.23,2.24亿,86.46,6.4359,837.56亿,837.44亿
