序号,代码,名称,最新价(元) 2026.06.26,涨跌幅(%) 2026.06.26,证券类型,涨跌幅(%) 2026.06.22,成交额(元) 2026.06.22,成交额(元) 2026.06.26,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 2026.06.26,最高价(元) 2026.06.26,最低价(元) 2026.06.26,换手率(%) 2026.06.26,量比 2026.06.26,成交量(股) 2026.06.26,市盈率(动)(倍) 2026.06.26,市净率(倍) 2026.06.26,总市值(元) 2026.06.26,流通市值(元) 2026.06.26
11,600487,亨通光电,110.81,-9.91,A股,8.22,216.13亿,227.20亿,通信-通信设备-通信线缆及配套,亨通光电,通信-通信设备-通信线缆及配套,国产芯片、海工装备、东方财富热股、大盘成长、无人驾驶、量子通信、富时罗素、物联网、机器人概念、题材股、军工、融资融券、液冷概念、F5G概念、特高压、网络安全、数据中心、光纤概念、智能电网、长江三角、大数据、光纤光缆、5G概念、昨日高振幅、光通信模块、新能源车、水利建设、标准普尔、华为概念、通信技术、创投、CPO概念、毫米波概念、DeepSeek概念、科技风格、海底电缆、MSCI中国、电网概念、量子科技、6G概念、沪股通、智慧城市、大盘股、小米汽车、人形机器人、一带一路、太赫兹、风能、柔性直流输电,-12.190,120.00,110.70,8.13,1.12,1.99亿,61.81,8.6115,2733.01亿,2709.51亿
12,600584,长电科技,100.89,-3.15,A股,10.00,209.18亿,352.29亿,电子-半导体-集成电路封测,长电科技,电子-半导体-集成电路封测,国产芯片、IGBT概念、昨日高振幅、上证180_、贬值受益、国家大基金持股、第三代半导体、存储芯片、标准普尔、最近多板、通信技术、东方财富热股、昨日高换手、智能穿戴、消费电子概念、HS300_、中芯概念、高带宽内存、央国企改革、CPO概念、毫米波概念、人工智能、无人驾驶、科技风格、富时罗素、物联网、MSCI中国、机器人概念、题材股、华为海思、融资融券、沪股通、绿色电力、半导体概念、先进封装、大盘股、苹果概念、玻璃基板、新材料、生物识别、汽车芯片、先进封装设备、长江三角、汽车电子,-3.280,109.33,100.68,18.77,1.57,3.36亿,155.49,6.3152,1805.34亿,1805.34亿
13,300394,天孚通信,318.00,-7.01,A股,-3.11,202.87亿,156.62亿,通信-通信设备-通信网络设备及器件,天孚通信,通信-通信设备-通信网络设备及器件,专精特新、5G概念、深证100R、贬值受益、深成500、华为概念、通信技术、HS300_、大盘成长、CPO概念、无人驾驶、科技风格、富时罗素、2025年报预增、MSCI中国、融资融券、深股通、算力概念、大盘股、MPO连接器、先进封装、数据中心、英伟达概念、光纤概念、创业板综,-23.970,334.68,316.80,4.43,0.86,4819.33万,176.18,63.4531,3468.82亿,3461.07亿
14,002281,光迅科技,240.34,-8.08,A股,3.71,184.98亿,135.28亿,通信-通信设备-通信网络设备及器件,光迅科技,通信-通信设备-通信网络设备及器件,国产芯片、光芯片、5G概念、东数西算、昨日高振幅、OCS交换机、光通信模块、抖音概念、标准普尔、深成500、华为概念、通信技术、大盘成长、腾讯概念、央国企改革、百度概念、CPO概念、量子通信、科技风格、富时罗素、MSCI中国、阿里概念、量子科技、激光雷达、6G概念、融资融券、液冷概念、深股通、字节系算力、量子测量、中证500、F5G概念、大盘股、先进封装、华为系算力、数据中心、一带一路、光纤概念、6G元器件、湖北三资改革、湖北自贸,-21.120,256.27,237.00,7.07,1.10,5518.18万,207.24,14.3866,1988.97亿,1875.85亿
15,300274,阳光电源,151.05,-1.05,A股,11.21,182.15亿,117.24亿,电力设备-光伏设备-逆变器,阳光电源,电力设备-光伏设备-逆变器,周期股、深证100R、数字经济、新能源车、深成500、宁德时代概念、先进制造风格、HS300_、大盘成长、储能概念、富时罗素、MSCI中国、阿里概念、宁组合、权重股、融资融券、行业龙头、充电桩、深股通、虚拟电厂、储能变流器、大盘股、数据中心、光伏概念、氢能源、系统集成、茅指数、创业板综、光伏逆变器、风能,-1.610,159.98,150.40,4.77,1.01,7577.90万,34.17,6.6291,3131.59亿,2397.96亿
16,300476,胜宏科技,319.55,-8.74,A股,-0.98,179.77亿,180.16亿,电子-元件-印制电路板,胜宏科技,电子-元件-印制电路板,国产芯片、粤港澳大湾区、5G概念、周期股、东数西算、深证100R、乡村振兴、AIPC、贬值受益、新能源车、深成500、小米概念、通信技术、HS300_、大盘成长、摩尔链、CPO概念、OLED、科技风格、富时罗素、富士康概念、2025年报预增、物联网、MSCI中国、机器人概念、AI手机、权重股、融资融券、行业龙头、深股通、虚拟现实、大盘股、PCB、数据中心、英伟达概念、光伏概念、人形机器人、智能电网、海峡两岸、创业板综、汽车电子、特斯拉概念,-30.610,341.00,318.98,6.36,1.16,5505.52万,60.94,20.0492,3140.49亿,2764.73亿
17,600522,中天科技,61.29,-10.00,A股,5.45,177.63亿,248.99亿,通信-通信设备-通信线缆及配套,中天科技,通信-通信设备-通信线缆及配套,国产芯片、海工装备、数字经济、上证180_、3D打印、铜缆高速连接、东方财富热股、趋势股、空芯光纤、碳纤维、OLED、央视50_、富时罗素、物联网、阿里概念、机器人概念、数据要素、题材股、中越经济一体化、融资融券、低空经济、液冷概念、商业航天、绿色电力、半导体概念、特高压、PCB、数据中心、光伏概念、铁路基建、超导概念、光纤概念、智能电网、石墨烯、海洋经济、长江三角、碳中和、大数据、光纤光缆、数据中心液冷、5G概念、东数西算、昨日高振幅、证金持股、光通信模块、新能源车、钙钛矿电池、工业互联、标准普尔、航运概念、华为概念、通信技术、创投、电池技术、HS300_、固态电池、储能概念、核能核电、CPO概念、DeepSeek概念、超级电容、科技风格、海底电缆、MSCI中国、电网概念、量子科技、6G概念、充电桩、沪股通、参股券商、大盘股、PET铜箔、新能源、氢能源、系统集成、新材料、可控核聚变、一带一路、锂电池概念、中欧经济一体化、阿里系算力、风能、参股银行、汽车电子、柔性直流输电,-6.810,66.48,61.29,11.59,1.30,3.95亿,56.91,5.5029,2091.80亿,2091.80亿
18,600183,生益科技,178.50,-4.65,A股,0.34,174.22亿,126.98亿,电子-元件-印制电路板,生益科技,电子-元件-印制电路板,国产芯片、5G概念、周期股、上证180_、新能源车、光通信模块、存储芯片、标准普尔、华为概念、通信技术、趋势股、HS300_、大盘成长、2025三季报预增、CPO概念、毫米波概念、科技风格、富时罗素、2025年报预增、MSCI中国、题材股、融资融券、沪股通、商业航天、大盘股、先进封装、PCB、上证50_、先进封装材料、汽车电子、MiniLED,-8.700,182.30,171.69,2.99,0.84,7147.70万,93.60,27.1262,4335.98亿,4274.19亿
19,688525,佰维存储,501.05,4.32,A股,5.21,170.90亿,224.48亿,电子-半导体-数字芯片设计,佰维存储,电子-半导体-数字芯片设计,国产芯片、粤港澳大湾区、专精特新、AIPC、上证180_、国家大基金持股、存储芯片、小米概念、华为概念、东方财富热股、智能穿戴、消费电子概念、趋势股、大盘成长、信创、百日新高 、科技风格、2025年报预增、MSCI中国、阿里概念、AI手机、机器人概念、题材股、融资融券、AI眼镜、近期新高、沪股通、半导体概念、先进封装、大盘股、数据中心、历史新高 、人形机器人、比亚迪概念、股权激励、汽车芯片、DRAM存储,20.750,517.00,465.20,9.85,1.08,4647.11万,20.38,28.0037,2362.78亿,2362.78亿
20,000988,华工科技,160.94,-7.28,A股,-1.62,158.98亿,110.14亿,机械设备-自动化设备-激光设备,华工科技,机械设备-自动化设备-激光设备,国产芯片、全息技术、深证100R、乡村振兴、高压快充、3D打印、深成500、存储芯片、铜缆高速连接、AI智能体、新型工业化、宁德时代概念、东方财富热股、大盘成长、腾讯概念、农机、2026一季报预增、独角兽、量子通信、富时罗素、物联网、基因测序、阿里概念、机器人概念、数据要素、航空发动机、融资融券、华为汽车、F5G概念、商业航天、半导体概念、苹果概念、先进封装、PCB、华为系算力、玻璃基板、卫星导航、汽车热管理、湖北三资改革、湖北自贸、MiniLED、光芯片、专精特新、5G概念、工业母机、东数西算、昨日高振幅、光通信模块、新能源车、钙钛矿电池、第三代半导体、工业互联、标准普尔、柔性屏、先进制造风格、华为概念、通信技术、长安汽车概念、创投、HS300_、MicroLED、央国企改革、智能家居、百度概念、CPO概念、DeepSeek概念、MSCI中国、量子科技、6G概念、大飞机、数字孪生、移动支付、充电桩、深股通、智能座舱、智慧城市、大盘股、蓝宝石、IPO受益、氢能源、新材料、锂电池概念、比亚迪概念、6G元器件、高端装备、传感器、汽车电子、3D玻璃、特斯拉概念,-12.640,171.87,160.00,6.65,0.92,6679.32万,63.37,14.1474,1618.26亿,1617.42亿
21,688981,中芯国际,148.76,-5.16,A股,3.48,152.51亿,161.72亿,电子-半导体-集成电路制造,中芯国际,电子-半导体-集成电路制造,国产芯片、权重股、融资融券、行业龙头、上证180_、国家大基金持股、沪股通、半导体概念、存储芯片、大盘股、消费电子概念、HS300_、上证50_、中芯概念、科创板做市股、茅指数、中国AI 50、科技风格、OLED、物联网、MSCI中国、汽车电子、上海自贸,-8.100,156.22,146.50,5.38,0.92,1.08亿,233.89,8.5009,1.27万亿,2974.55亿
22,600030,中信证券,27.74,-4.28,A股,7.83,146.93亿,82.05亿,非银金融-证券Ⅱ-证券Ⅲ,中信证券,非银金融-证券Ⅱ-证券Ⅲ,权重股、周期股、融资融券、行业龙头、参股期货、上证180_、证金持股、沪股通、券商概念、标准普尔、深圳特区、大盘股、华为概念、HS300_、上证50_、互联网金融、科创板做市商、富时罗素、金融地产风格、MSCI中国、参股银行,-1.240,29.16,27.71,2.38,0.82,2.90亿,10.06,1.4403,4111.22亿,3377.78亿
23,603993,洛阳钼业,17.24,-4.59,A股,8.03,145.63亿,59.21亿,有色金属-工业金属-铜,洛阳钼业,有色金属-工业金属-铜,镍矿、周期股、昨日高振幅、上证180_、贬值受益、金属钴、标准普尔、宁德时代概念、黄金开采、HS300_、盐湖提锂、磷化工、小金属概念、钴矿、富时罗素、2025年报预增、MSCI中国、黄金概念、金属铜、权重股、稀缺资源、融资融券、沪股通、大盘股、金属镍、铜矿、上证50_、金属钨,-0.830,18.42,17.16,1.93,0.68,3.37亿,11.88,4.4574,3688.38亿,3010.25亿
24,002156,通富微电,71.60,-7.98,A股,4.37,143.41亿,146.24亿,电子-半导体-集成电路封测,通富微电,电子-半导体-集成电路封测,国产芯片、AIPC、昨日高振幅、贬值受益、国家大基金持股、第三代半导体、存储芯片、标准普尔、深成500、华为概念、通信技术、东方财富热股、智能穿戴、消费电子概念、创投、大盘成长、CPO概念、毫米波概念、科技风格、富时罗素、2025年报预增、物联网、MSCI中国、华为海思、移动支付、融资融券、深股通、智能座舱、半导体概念、先进封装、大盘股、碳化硅、玻璃基板、比亚迪概念、海峡两岸、汽车芯片、长江三角、传感器、汽车电子、特斯拉概念,-6.210,77.83,71.56,12.97,1.07,1.97亿,82.55,6.9943,1086.60亿,1086.50亿
25,002475,立讯精密,68.00,-8.63,A股,-2.19,142.29亿,233.14亿,电子-消费电子-消费电子零部件及组装,立讯精密,电子-消费电子-消费电子零部件及组装,国产芯片、周期股、DAC无源铜缆、深证100R、贬值受益、3D摄像头、深圳特区、深成500、铜缆高速连接、智能穿戴、CDU、无人驾驶、富时罗素、无线充电、机器人概念、融资融券、液冷概念、商业航天、苹果概念、智能音箱、数据中心、无线耳机、粤港澳大湾区、5G概念、电子烟、证金持股、转债标的、光通信模块、新能源车、标准普尔、华为概念、通信技术、消费电子概念、HS300_、智能家居、CPO概念、毫米波概念、混合现实、科技风格、HUD抬头显示、MSCI中国、权重股、AI眼镜、深股通、充电桩、虚拟现实、智能座舱、华为手机、大盘股、机器视觉、人形机器人、茅指数、海峡两岸、汽车电子,-6.420,71.50,67.05,4.66,1.26,3.40亿,34.00,5.6324,4976.42亿,4965.04亿
26,301308,江波龙,679.60,0.34,A股,6.64,142.24亿,166.00亿,电子-半导体-数字芯片设计,江波龙,电子-半导体-数字芯片设计,国产芯片、专精特新、深证100R、AIPC、国家大基金持股、贬值受益、长江存储、存储芯片、深成500、华为概念、小米概念、东方财富热股、消费电子概念、智能穿戴、HS300_、AI手机结构件、信创、科技风格、2025年报预增、MSCI中国、AI手机、机器人概念、华为鲲鹏、数据安全、融资融券、AI眼镜、深股通、智能座舱、半导体概念、大盘股、先进封装、数据中心、长鑫存储、小米汽车、创业板综、DRAM存储、EDR概念,2.300,690.50,650.00,8.78,1.06,2475.81万,18.61,24.1484,2875.12亿,1915.47亿
27,688041,海光信息,344.90,-4.27,A股,-0.21,141.35亿,138.18亿,电子-半导体-数字芯片设计,海光信息,电子-半导体-数字芯片设计,国产芯片、专精特新、东数西算、上证180_、抖音概念、CPU、水利建设、GPU、AI芯片、HS300_、大盘成长、腾讯概念、信创、百度概念、DeepSeek概念、人工智能、中国AI 50、科技风格、MSCI中国、阿里概念、量子科技、权重股、融资融券、算力概念、沪股通、半导体概念、大盘股、上证50_、阿里系算力,-15.380,358.00,337.93,1.71,0.83,3977.07万,291.69,34.6300,8016.64亿,8016.64亿
28,300285,国瓷材料,102.81,4.48,A股,10.47,139.39亿,141.96亿,电子-电子化学品Ⅱ-电子化学品Ⅲ,国瓷材料,电子-电子化学品Ⅱ-电子化学品Ⅲ,国产芯片、中盘股、5G概念、昨日高振幅、新能源车、3D打印、深成500、节能环保、宁德时代概念、东方财富热股、电池技术、趋势股、消费电子概念、固态电池、百日新高 、CPO概念、科技风格、富时罗素、牙科医疗、MLCC、题材股、融资融券、深股通、近期新高、中盘成长、中证500、商业航天、蓝宝石、被动元件概念、氢能源、新材料、历史新高 、卫星导航、比亚迪概念、锂电池概念、创业板综,4.410,105.99,93.87,16.55,0.99,1.41亿,180.13,14.4153,1025.07亿,877.66亿
29,300433,蓝思科技,55.59,-0.23,A股,-3.51,137.13亿,103.38亿,电子-消费电子-消费电子零部件及组装,蓝思科技,电子-消费电子-消费电子零部件及组装,深证100R、AIPC、贬值受益、3D打印、深成500、宁德时代概念、新型工业化、智能穿戴、趋势股、太空算力、蚂蚁概念、OLED、富时罗素、机器人概念、题材股、融资融券、人脑工程、光伏玻璃、液冷概念、太空光伏、商业航天、苹果概念、先进封装、光伏概念、玻璃基板、光纤概念、无线耳机、电子烟、元宇宙概念、新能源车、灵巧手、工业互联、柔性屏、华为概念、小米概念、TOPCON电池、消费电子概念、HS300_、AI手机结构件、越疆机器人、智能家居、荣耀概念、混合现实、科技风格、MSCI中国、AI手机、AI眼镜、充电桩、深股通、虚拟现实、智能座舱、大盘股、蓝宝石、新材料、人形机器人、小米汽车、比亚迪概念、创业板综、减速器、智能物流、传感器、汽车电子、3D玻璃、特斯拉概念,-0.130,57.48,53.00,3.74,0.89,1.86亿,-490.38,5.6020,2934.45亿,2762.66亿
30,300475,香农芯创,301.00,-1.71,A股,12.92,133.52亿,134.01亿,电子-其他电子Ⅱ-其他电子Ⅲ,香农芯创,电子-其他电子Ⅱ-其他电子Ⅲ,国产芯片、粤港澳大湾区、中盘股、融资融券、东数西算、行业龙头、深股通、贬值受益、抖音概念、中盘成长、中证500、半导体概念、存储芯片、深成500、芯片分销、数据中心、腾讯概念、高带宽内存、2026一季报预增、创业板综、科技风格、2025年报预增、MSCI中国、阿里概念,-5.250,317.88,298.53,9.71,0.87,4369.65万,26.62,28.6458,1413.32亿,1354.61亿
31,002463,沪电股份,147.28,-4.97,A股,-1.78,132.89亿,121.99亿,电子-元件-印制电路板,沪电股份,电子-元件-印制电路板,国产芯片、5G概念、周期股、深证100R、昨日高振幅、贬值受益、新能源车、标准普尔、深成500、华为概念、通信技术、趋势股、污水处理、HS300_、大盘成长、2026一季报预增、毫米波概念、无人驾驶、科技风格、富时罗素、MSCI中国、融资融券、深股通、台资控股、大盘股、PCB、数据中心、海峡两岸、服务器PCB、汽车电子、通信PCB,-7.710,155.25,143.26,4.27,0.95,8212.34万,57.05,17.9066,2834.20亿,2831.92亿
32,600111,北方稀土,47.26,-3.94,A股,5.35,130.73亿,50.13亿,有色金属-小金属-稀土,北方稀土,有色金属-小金属-稀土,专精特新、周期股、西部大开发、上证180_、标准普尔、电池技术、HS300_、2025三季报预增、2026一季报预增、央国企改革、小金属概念、富时罗素、2025年报预增、MSCI中国、军工、稀土永磁、稀缺资源、融资融券、行业龙头、沪股通、金属回收、大盘股、冶炼分离、稀土开采、氢能源、上证50_、新材料、锂电池概念,-1.940,48.89,47.08,2.90,0.59,1.05亿,46.54,6.8030,1708.48亿,1708.48亿
33,300136,信维通信,118.19,1.25,A股,-7.57,126.58亿,138.22亿,电子-消费电子-消费电子零部件及组装,信维通信,电子-消费电子-消费电子零部件及组装,国产芯片、中盘股、贬值受益、深圳特区、深成500、智能穿戴、央视50_、富时罗素、无线充电、MLCC、物联网、机器人概念、低空经济、融资融券、无人机、商业航天、苹果概念、智能音箱、被动元件概念、卫星导航、无线耳机、粤港澳大湾区、5G概念、电子烟、车联网、柔性屏、华为概念、通信技术、消费电子概念、越疆机器人、毫米波概念、混合现实、科技风格、富士康概念、MSCI中国、卫星互联网、6G概念、AI眼镜、深股通、虚拟现实、卫星通信、中证500、UWB概念、一带一路、海峡两岸、创业板综、WiFi6、WiFi、汽车电子、特斯拉概念,1.460,121.40,113.12,14.24,0.99,1.17亿,272.57,14.3395,1143.57亿,975.30亿
34,300408,三环集团,160.05,-2.18,A股,-1.13,121.76亿,119.36亿,电子-元件-被动元件,三环集团,电子-元件-被动元件,5G概念、周期股、深证100R、证金持股、燃料电池概念、光通信模块、深成500、华为概念、小米概念、通信技术、智能穿戴、电池技术、趋势股、消费电子概念、HS300_、大盘成长、CPO概念、科技风格、富时罗素、MLCC、MSCI中国、融资融券、深股通、大盘股、被动元件概念、数据中心、新材料、光纤概念、创业板综、SOFC,-3.570,164.49,154.90,4.00,0.98,7481.57万,96.96,14.2425,3067.35亿,2992.62亿
35,300857,协创数据,332.47,-2.78,A股,14.06,119.31亿,70.52亿,电子-消费电子-消费电子零部件及组装,协创数据,电子-消费电子-消费电子零部件及组装,国产芯片、贬值受益、网络游戏、短剧互动游戏、存储芯片、深圳特区、深成500、AI智能体、智能穿戴、大盘成长、腾讯概念、2026一季报预增、AI应用、物联网、阿里概念、云游戏、机器人概念、融资融券、AIGC概念、智能音箱、数据中心、英伟达概念、大数据、光芯片、粤港澳大湾区、东数西算、5G概念、光通信模块、车联网、小米概念、通信技术、消费电子概念、跨境电商、算力租赁、智能家居、CPO概念、DeepSeek概念、人工智能、科技风格、2025年报预增、MSCI中国、人脸识别、云计算、安防概念、AI眼镜、深股通、算力概念、中证500、净水概念、大盘股、人形机器人、创业板综、汽车电子、EDR概念,-9.510,345.28,326.01,4.33,0.68,2109.33万,54.21,31.7829,1626.99亿,1618.66亿
36,301217,铜冠铜箔,170.30,-7.08,A股,-1.75,117.30亿,96.80亿,电力设备-电池-锂电池,铜冠铜箔,电力设备-电池-锂电池,题材股、中盘股、融资融券、5G概念、2025年报扭亏、深股通、深成500、PET铜箔、宁德时代概念、锂电铜箔、PCB、先进制造风格、电池技术、固态电池、储能概念、锂电池概念、比亚迪概念、央国企改革、创业板综、固态铜箔、PCB铜箔、安徽三资改革,-12.970,176.00,160.96,6.93,1.15,5741.27万,331.89,25.6643,1411.81亿,1411.81亿
37,002008,大族激光,151.27,-1.00,A股,-2.20,117.29亿,199.61亿,机械设备-自动化设备-激光设备,大族激光,机械设备-自动化设备-激光设备,国产芯片、火箭发射、中盘股、钙钛矿设备、3D打印、深圳特区、深成500、存储芯片、新型工业化、宁德时代概念、OLED、央视50_、富时罗素、物联网、机器人概念、MicroLED设备、融资融券、中盘成长、昨日触板、商业航天、半导体概念、苹果概念、先进封装、PCB、光伏概念、玻璃基板、光纤概念、先进封装材料、昨日炸板、机器人执行器、MiniLED、粤港澳大湾区、工业母机、昨日高振幅、证金持股、新能源车、钙钛矿电池、第三代半导体、标准普尔、先进制造风格、华为概念、小米概念、TOPCON电池、电池技术、消费电子概念、固态电池、巨量转移、MicroLED、光刻机/胶、混合现实、富士康概念、MSCI中国、AI眼镜、深股通、中证500、蓝箭航天、银河通用、机器视觉、锂电池概念、比亚迪概念、HJT电池、3D打印设备、高端装备、先进封装设备、电池设备、减速器、TOPCon电池、特斯拉概念,-1.530,168.08,151.00,13.19,1.25,1.26亿,109.97,7.6114,1557.48亿,1447.24亿
38,600176,中国巨石,74.12,4.69,A股,9.12,116.94亿,166.28亿,建筑材料-玻璃玻纤-玻纤制造,中国巨石,建筑材料-玻璃玻纤-玻纤制造,周期股、昨日高振幅、上证180_、标准普尔、东方财富热股、HS300_、2026一季报预增、央国企改革、百日新高 、DeepSeek概念、中字头、富时罗素、PEEK材料概念、MSCI中国、题材股、融资融券、行业龙头、近期新高、养老金、沪股通、电子布、大盘股、PCB、光伏概念、新材料、历史新高 、一带一路、中欧经济一体化、风能、长江三角,3.320,77.20,70.12,5.67,1.04,2.27亿,58.54,9.4095,2967.13亿,2967.13亿
