序号,代码,名称,最新价(元) 2026.06.26,涨跌幅(%) 2026.06.26,证券类型,成交额(元) 2026.06.26,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 2026.06.26,最高价(元) 2026.06.26,最低价(元) 2026.06.26,换手率(%) 2026.06.26,量比 2026.06.26,成交量(股) 2026.06.26,市盈率(动)(倍) 2026.06.26,市净率(倍) 2026.06.26,总市值(元) 2026.06.26,流通市值(元) 2026.06.26
11,001309,德明利,951.00,6.73,A股,199.76亿,电子-半导体-数字芯片设计,德明利,电子-半导体-数字芯片设计,国产芯片、光芯片、粤港澳大湾区、专精特新、5G概念、AIPC、昨日高振幅、2026一季报扭亏、贬值受益、长江存储、存储芯片、深成500、最近多板、通信技术、东方财富热股、智能穿戴、大盘成长、信创、中芯概念、百日新高 、CPO概念、人工智能、科技风格、2025年报预增、MSCI中国、题材股、融资融券、深股通、近期新高、中证500、半导体概念、大盘股、数据中心、历史新高 、汽车电子,60.000,980.00,872.31,13.56,1.26,2187.35万,16.12,32.5711,2157.30亿,1534.21亿
12,002008,大族激光,151.27,-1.00,A股,199.61亿,机械设备-自动化设备-激光设备,大族激光,机械设备-自动化设备-激光设备,国产芯片、火箭发射、中盘股、钙钛矿设备、3D打印、深圳特区、深成500、存储芯片、新型工业化、宁德时代概念、OLED、央视50_、富时罗素、物联网、机器人概念、MicroLED设备、融资融券、中盘成长、昨日触板、商业航天、半导体概念、苹果概念、先进封装、PCB、光伏概念、玻璃基板、光纤概念、先进封装材料、昨日炸板、机器人执行器、MiniLED、粤港澳大湾区、工业母机、昨日高振幅、证金持股、新能源车、钙钛矿电池、第三代半导体、标准普尔、先进制造风格、华为概念、小米概念、TOPCON电池、电池技术、消费电子概念、固态电池、巨量转移、MicroLED、光刻机/胶、混合现实、富士康概念、MSCI中国、AI眼镜、深股通、中证500、蓝箭航天、银河通用、机器视觉、锂电池概念、比亚迪概念、HJT电池、3D打印设备、高端装备、先进封装设备、电池设备、减速器、TOPCon电池、特斯拉概念,-1.530,168.08,151.00,13.19,1.25,1.26亿,109.97,7.6114,1557.48亿,1447.24亿
13,601138,工业富联,70.22,-8.79,A股,189.33亿,电子-消费电子-消费电子零部件及组装,工业富联,电子-消费电子-消费电子零部件及组装,国产芯片、数据中心液冷、区块链、5G概念、两岸合作、东数西算、昨日高振幅、上证180_、新能源车、车联网、工业互联、标准普尔、深圳特区、新型工业化、创投、HS300_、UQD连接器、算力租赁、CPO概念、独角兽、人工智能、科技风格、富时罗素、富士康概念、2025年报预增、物联网、MSCI中国、阿里概念、机器人概念、云计算、权重股、融资融券、医疗器械概念、行业龙头、液冷概念、算力概念、虚拟现实、沪股通、智慧城市、大盘股、苹果概念、数据中心、英伟达概念、海峡两岸、大数据,-6.770,75.00,70.00,1.32,0.95,2.62亿,32.88,7.9075,1.39万亿,1.39万亿
14,688256,寒武纪,1458.00,-3.12,A股,182.44亿,电子-半导体-数字芯片设计,寒武纪,电子-半导体-数字芯片设计,国产芯片、东数西算、上证180_、AI芯片、HS300_、大盘成长、边缘计算、人工智能、国产操作系统、中国AI 50、科技风格、MSCI中国、阿里概念、权重股、融资融券、2025年报扭亏、算力概念、沪股通、ASIC芯片、半导体概念、先进封装、大盘股、数据中心、上证50_、汽车芯片、阿里系算力,-47.000,1518.98,1415.00,1.98,0.77,1243.52万,226.03,74.8479,9160.51亿,9160.51亿
15,002384,东山精密,260.32,-5.61,A股,181.83亿,电子-元件-印制电路板,东山精密,电子-元件-印制电路板,国产芯片、光芯片、LED概念、5G概念、周期股、深证100R、高压快充、贬值受益、光通信模块、新能源车、标准普尔、深成500、华为概念、小米概念、通信技术、创投、消费电子概念、智能穿戴、HS300_、2026一季报预增、CPO概念、OLED、科技风格、富时罗素、MSCI中国、机器人概念、AI手机、融资融券、深股通、大盘股、苹果概念、PCB、数据中心、人形机器人、光纤概念、服务器PCB、长江三角、MiniLED、特斯拉概念,-15.480,271.88,256.00,4.98,0.91,6907.75万,107.40,21.0624,4768.04亿,3608.87亿
16,300750,宁德时代,381.00,-5.20,A股,181.34亿,电力设备-电池-锂电池,宁德时代,电力设备-电池-锂电池,钠离子电池、周期股、深证100R、新能源车、深成500、宁德时代概念、先进制造风格、华为概念、长安汽车概念、电池技术、HS300_、固态电池、储能概念、蚂蚁概念、富时罗素、MSCI中国、动力电池回收、宁组合、权重股、融资融券、行业龙头、华为汽车、深股通、大盘股、麒麟电池、小米汽车、换电概念、锂电池概念、茅指数、创业板综、锂矿概念、特斯拉概念,-20.900,409.81,381.00,1.09,1.15,4652.53万,21.25,5.3937,1.76万亿,1.62万亿
17,300476,胜宏科技,319.55,-8.74,A股,180.16亿,电子-元件-印制电路板,胜宏科技,电子-元件-印制电路板,国产芯片、粤港澳大湾区、5G概念、周期股、东数西算、深证100R、乡村振兴、AIPC、贬值受益、新能源车、深成500、小米概念、通信技术、HS300_、大盘成长、摩尔链、CPO概念、OLED、科技风格、富时罗素、富士康概念、2025年报预增、物联网、MSCI中国、机器人概念、AI手机、权重股、融资融券、行业龙头、深股通、虚拟现实、大盘股、PCB、数据中心、英伟达概念、光伏概念、人形机器人、智能电网、海峡两岸、创业板综、汽车电子、特斯拉概念,-30.610,341.00,318.98,6.36,1.16,5505.52万,60.94,20.0492,3140.49亿,2764.73亿
18,600176,中国巨石,74.12,4.69,A股,166.28亿,建筑材料-玻璃玻纤-玻纤制造,中国巨石,建筑材料-玻璃玻纤-玻纤制造,周期股、昨日高振幅、上证180_、标准普尔、东方财富热股、HS300_、2026一季报预增、央国企改革、百日新高 、DeepSeek概念、中字头、富时罗素、PEEK材料概念、MSCI中国、题材股、融资融券、行业龙头、近期新高、养老金、沪股通、电子布、大盘股、PCB、光伏概念、新材料、历史新高 、一带一路、中欧经济一体化、风能、长江三角,3.320,77.20,70.12,5.67,1.04,2.27亿,58.54,9.4095,2967.13亿,2967.13亿
19,301308,江波龙,679.60,0.34,A股,166.00亿,电子-半导体-数字芯片设计,江波龙,电子-半导体-数字芯片设计,国产芯片、专精特新、深证100R、AIPC、国家大基金持股、贬值受益、长江存储、存储芯片、深成500、华为概念、小米概念、东方财富热股、消费电子概念、智能穿戴、HS300_、AI手机结构件、信创、科技风格、2025年报预增、MSCI中国、AI手机、机器人概念、华为鲲鹏、数据安全、融资融券、AI眼镜、深股通、智能座舱、半导体概念、大盘股、先进封装、数据中心、长鑫存储、小米汽车、创业板综、DRAM存储、EDR概念,2.300,690.50,650.00,8.78,1.06,2475.81万,18.61,24.1484,2875.12亿,1915.47亿
20,688981,中芯国际,148.76,-5.16,A股,161.72亿,电子-半导体-集成电路制造,中芯国际,电子-半导体-集成电路制造,国产芯片、权重股、融资融券、行业龙头、上证180_、国家大基金持股、沪股通、半导体概念、存储芯片、大盘股、消费电子概念、HS300_、上证50_、中芯概念、科创板做市股、茅指数、中国AI 50、科技风格、OLED、物联网、MSCI中国、汽车电子、上海自贸,-8.100,156.22,146.50,5.38,0.92,1.08亿,233.89,8.5009,1.27万亿,2974.55亿
21,300394,天孚通信,318.00,-7.01,A股,156.62亿,通信-通信设备-通信网络设备及器件,天孚通信,通信-通信设备-通信网络设备及器件,专精特新、5G概念、深证100R、贬值受益、深成500、华为概念、通信技术、HS300_、大盘成长、CPO概念、无人驾驶、科技风格、富时罗素、2025年报预增、MSCI中国、融资融券、深股通、算力概念、大盘股、MPO连接器、先进封装、数据中心、英伟达概念、光纤概念、创业板综,-23.970,334.68,316.80,4.43,0.86,4819.33万,176.18,63.4531,3468.82亿,3461.07亿
22,002185,华天科技,22.56,0.71,A股,150.98亿,电子-半导体-集成电路封测,华天科技,电子-半导体-集成电路封测,国产芯片、中盘股、5G概念、西部大开发、昨日高振幅、国家大基金持股、第三代半导体、氮化镓、存储芯片、标准普尔、深成500、华为概念、通信技术、东方财富热股、昨日高换手、高带宽内存、CPO概念、毫米波概念、人工智能、无人驾驶、富时罗素、物联网、MSCI中国、机器人概念、题材股、华为海思、融资融券、深股通、智能座舱、中证500、半导体概念、先进封装、比亚迪概念、先进封装材料、汽车芯片、传感器、汽车电子,0.160,23.86,21.71,19.84,1.27,6.59亿,215.98,4.2017,749.76亿,749.59亿
23,603019,中科曙光,98.76,0.96,A股,149.49亿,计算机-计算机设备-其他计算机设备,中科曙光,计算机-计算机设备-其他计算机设备,国产芯片、区块链、数字经济、上证180_、冷却液、抖音概念、新型工业化、AI智能体、东方财富热股、大盘成长、腾讯概念、边缘计算、独角兽、中国AI 50、量子通信、国产操作系统、中字头、富时罗素、融资融券、液冷概念、网络安全、数据中心、Web3.0、智能电网、智能医疗、大数据、数据中心液冷、东数西算、工业互联、标准普尔、最近多板、创投、HS300_、信创、VPN、算力租赁、百度概念、央国企改革、DeepSeek概念、人工智能、科技风格、MSCI中国、量子科技、云计算、数据安全、数字孪生、雄安新区、算力概念、沪股通、智慧城市、大盘股、上证50_、一带一路、中特估、智谱AI,0.940,102.00,96.65,10.31,2.19,1.51亿,158.55,6.5680,1444.97亿,1444.91亿
24,002156,通富微电,71.60,-7.98,A股,146.24亿,电子-半导体-集成电路封测,通富微电,电子-半导体-集成电路封测,国产芯片、AIPC、昨日高振幅、贬值受益、国家大基金持股、第三代半导体、存储芯片、标准普尔、深成500、华为概念、通信技术、东方财富热股、智能穿戴、消费电子概念、创投、大盘成长、CPO概念、毫米波概念、科技风格、富时罗素、2025年报预增、物联网、MSCI中国、华为海思、移动支付、融资融券、深股通、智能座舱、半导体概念、先进封装、大盘股、碳化硅、玻璃基板、比亚迪概念、海峡两岸、汽车芯片、长江三角、传感器、汽车电子、特斯拉概念,-6.210,77.83,71.56,12.97,1.07,1.97亿,82.55,6.9943,1086.60亿,1086.50亿
25,600667,太极实业,26.88,6.20,A股,144.89亿,建筑装饰-工程咨询服务Ⅱ-工程咨询服务Ⅲ,太极实业,建筑装饰-工程咨询服务Ⅱ-工程咨询服务Ⅲ,国产芯片、昨日高振幅、存储芯片、标准普尔、工程建设、东方财富热股、昨日高换手、趋势股、央国企改革、百日新高 、OLED、富时罗素、题材股、融资融券、近期新高、昨日触板、上证380、沪股通、绿色电力、半导体概念、先进封装、数据中心、光伏概念、小盘股、历史新高 、昨日炸板、小盘成长、昨日打二板以上表现、长江三角、光伏建筑一体化,1.570,27.84,26.20,25.24,2.00,5.28亿,108.85,6.5321,562.21亿,562.21亿
26,300285,国瓷材料,102.81,4.48,A股,141.96亿,电子-电子化学品Ⅱ-电子化学品Ⅲ,国瓷材料,电子-电子化学品Ⅱ-电子化学品Ⅲ,国产芯片、中盘股、5G概念、昨日高振幅、新能源车、3D打印、深成500、节能环保、宁德时代概念、东方财富热股、电池技术、趋势股、消费电子概念、固态电池、百日新高 、CPO概念、科技风格、富时罗素、牙科医疗、MLCC、题材股、融资融券、深股通、近期新高、中盘成长、中证500、商业航天、蓝宝石、被动元件概念、氢能源、新材料、历史新高 、卫星导航、比亚迪概念、锂电池概念、创业板综,4.410,105.99,93.87,16.55,0.99,1.41亿,180.13,14.4153,1025.07亿,877.66亿
27,300136,信维通信,118.19,1.25,A股,138.22亿,电子-消费电子-消费电子零部件及组装,信维通信,电子-消费电子-消费电子零部件及组装,国产芯片、中盘股、贬值受益、深圳特区、深成500、智能穿戴、央视50_、富时罗素、无线充电、MLCC、物联网、机器人概念、低空经济、融资融券、无人机、商业航天、苹果概念、智能音箱、被动元件概念、卫星导航、无线耳机、粤港澳大湾区、5G概念、电子烟、车联网、柔性屏、华为概念、通信技术、消费电子概念、越疆机器人、毫米波概念、混合现实、科技风格、富士康概念、MSCI中国、卫星互联网、6G概念、AI眼镜、深股通、虚拟现实、卫星通信、中证500、UWB概念、一带一路、海峡两岸、创业板综、WiFi6、WiFi、汽车电子、特斯拉概念,1.460,121.40,113.12,14.24,0.99,1.17亿,272.57,14.3395,1143.57亿,975.30亿
28,688041,海光信息,344.90,-4.27,A股,138.18亿,电子-半导体-数字芯片设计,海光信息,电子-半导体-数字芯片设计,国产芯片、专精特新、东数西算、上证180_、抖音概念、CPU、水利建设、GPU、AI芯片、HS300_、大盘成长、腾讯概念、信创、百度概念、DeepSeek概念、人工智能、中国AI 50、科技风格、MSCI中国、阿里概念、量子科技、权重股、融资融券、算力概念、沪股通、半导体概念、大盘股、上证50_、阿里系算力,-15.380,358.00,337.93,1.71,0.83,3977.07万,291.69,34.6300,8016.64亿,8016.64亿
29,300223,北京君正,233.21,-1.75,A股,137.41亿,电子-半导体-数字芯片设计,北京君正,电子-半导体-数字芯片设计,国产芯片、中盘股、区块链、鸿蒙概念、贬值受益、抖音概念、CPU、3D打印、存储芯片、深成500、小米概念、最近多板、智能穿戴、消费电子概念、京津冀一体化、SRAM存储、智能家居、毫米波概念、人工智能、无人驾驶、OLED、科技风格、富时罗素、MCU芯片、物联网、MSCI中国、人脸识别、机器人概念、题材股、安防概念、融资融券、AI眼镜、深股通、超清视频、智能座舱、中证500、半导体概念、智能音箱、机器视觉、3D打印设备、创业板综、汽车芯片、传感器、DRAM存储、汽车电子、MiniLED,-4.150,242.00,229.00,13.83,1.11,5831.40万,88.40,8.8973,1127.95亿,983.43亿
30,002281,光迅科技,240.34,-8.08,A股,135.28亿,通信-通信设备-通信网络设备及器件,光迅科技,通信-通信设备-通信网络设备及器件,国产芯片、光芯片、5G概念、东数西算、昨日高振幅、OCS交换机、光通信模块、抖音概念、标准普尔、深成500、华为概念、通信技术、大盘成长、腾讯概念、央国企改革、百度概念、CPO概念、量子通信、科技风格、富时罗素、MSCI中国、阿里概念、量子科技、激光雷达、6G概念、融资融券、液冷概念、深股通、字节系算力、量子测量、中证500、F5G概念、大盘股、先进封装、华为系算力、数据中心、一带一路、光纤概念、6G元器件、湖北三资改革、湖北自贸,-21.120,256.27,237.00,7.07,1.10,5518.18万,207.24,14.3866,1988.97亿,1875.85亿
31,300475,香农芯创,301.00,-1.71,A股,134.01亿,电子-其他电子Ⅱ-其他电子Ⅲ,香农芯创,电子-其他电子Ⅱ-其他电子Ⅲ,国产芯片、粤港澳大湾区、中盘股、融资融券、东数西算、行业龙头、深股通、贬值受益、抖音概念、中盘成长、中证500、半导体概念、存储芯片、深成500、芯片分销、数据中心、腾讯概念、高带宽内存、2026一季报预增、创业板综、科技风格、2025年报预增、MSCI中国、阿里概念,-5.250,317.88,298.53,9.71,0.87,4369.65万,26.62,28.6458,1413.32亿,1354.61亿
32,000100,TCL科技,5.40,1.12,A股,133.20亿,电子-光学光电子-面板,TCL科技,电子-光学光电子-面板,屏下摄像、国产芯片、粤港澳大湾区、周期股、电子纸概念、深证100R、昨日高振幅、AIPC、证金持股、工业互联、标准普尔、深成500、柔性屏、AI芯片、华为概念、小米概念、最近多板、东方财富热股、消费电子概念、HS300_、MicroLED、百日新高 、超级品牌、OLED、科技风格、富时罗素、2025年报预增、MSCI中国、融资融券、AI眼镜、显示技术、深股通、近期新高、虚拟现实、绿色电力、硅能源、半导体概念、大盘股、PCB、光伏概念、比亚迪概念、参股银行、MiniLED,0.060,5.67,5.29,12.76,1.55,24.40亿,18.04,1.8470,1123.25亿,1033.13亿
33,688012,中微公司,413.00,3.48,A股,131.53亿,电子-半导体-半导体设备,中微公司,电子-半导体-半导体设备,国产芯片、LED概念、区块链、上证180_、国家大基金持股、工业互联、存储芯片、HS300_、大盘成长、中芯概念、高带宽内存、科创板做市股、百日新高 、科技风格、富时罗素、MSCI中国、宁组合、融资融券、近期新高、沪股通、半导体概念、大盘股、先进封装、上证50_、历史新高 、股权激励、先进封装设备、长江三角、MiniLED,13.870,423.80,393.24,3.41,1.08,3195.23万,105.71,15.2755,3934.59亿,3891.27亿
34,001399,N惠科,42.00,315.02,A股,130.31亿,电子-光学光电子-面板,惠科股份,电子-光学光电子-面板,国产芯片、电子纸概念、融资融券、AIPC、注册制次新股、工业互联、次新股、小米概念、东方财富热股、消费电子概念、智能穿戴、MicroLED、OLED、MiniLED,31.880,76.00,31.50,65.92,0.00,2.84亿,76.98,9.1452,3065.09亿,180.84亿
35,300059,东方财富,20.07,-4.93,A股,127.55亿,非银金融-证券Ⅱ-证券Ⅲ,东方财富,非银金融-证券Ⅱ-证券Ⅲ,区块链、周期股、鸿蒙概念、深证100R、参股期货、证金持股、互联网保险、深成500、东方财富热股、HS300_、互联网金融、AI应用、DeepSeek概念、人工智能、富时罗素、金融地产风格、网红经济、MSCI中国、数据要素、权重股、融资融券、深股通、虚拟机器人、AIGC概念、券商概念、大盘股、互联网服务、国产软件、茅指数、创业板综、长江三角、大数据,-1.040,21.17,20.02,4.66,0.75,6.23亿,21.24,3.3683,3175.52亿,2680.01亿
36,600183,生益科技,178.50,-4.65,A股,126.98亿,电子-元件-印制电路板,生益科技,电子-元件-印制电路板,国产芯片、5G概念、周期股、上证180_、新能源车、光通信模块、存储芯片、标准普尔、华为概念、通信技术、趋势股、HS300_、大盘成长、2025三季报预增、CPO概念、毫米波概念、科技风格、富时罗素、2025年报预增、MSCI中国、题材股、融资融券、沪股通、商业航天、大盘股、先进封装、PCB、上证50_、先进封装材料、汽车电子、MiniLED,-8.700,182.30,171.69,2.99,0.84,7147.70万,93.60,27.1262,4335.98亿,4274.19亿
37,000021,深科技,53.51,0.58,A股,124.63亿,电子-消费电子-消费电子零部件及组装,深科技,电子-消费电子-消费电子零部件及组装,国产芯片、中盘股、区块链、昨日高振幅、数字经济、贬值受益、新能源车、光通信模块、第三代半导体、存储芯片、标准普尔、深圳特区、深成500、东方财富热股、消费电子概念、储能概念、央国企改革、CPO概念、超级电容、富时罗素、物联网、MSCI中国、电网概念、机器人概念、题材股、医疗器械概念、融资融券、深股通、虚拟电厂、无人机、中证500、半导体概念、先进封装、智能电网、先进封装材料、智能物流、汽车电子、DRAM存储,0.310,57.63,52.22,14.44,1.17,2.27亿,86.97,6.4734,842.45亿,842.32亿
38,002428,云南锗业,120.48,-7.39,A股,122.88亿,有色金属-小金属-其他小金属,云南锗业,有色金属-小金属-其他小金属,国产芯片、中盘股、西部大开发、昨日高振幅、光通信模块、第三代半导体、深成500、华为概念、通信技术、东方财富热股、昨日高换手、小金属概念、富时罗素、题材股、军工、稀缺资源、融资融券、深股通、中盘成长、2025年报预减、商业航天、金属回收、半导体概念、光伏概念、氟化工概念、卫星导航、光纤概念,-9.620,132.86,118.54,15.20,1.05,9926.25万,2160.07,53.7977,786.88亿,786.78亿
39,002463,沪电股份,147.28,-4.97,A股,121.99亿,电子-元件-印制电路板,沪电股份,电子-元件-印制电路板,国产芯片、5G概念、周期股、深证100R、昨日高振幅、贬值受益、新能源车、标准普尔、深成500、华为概念、通信技术、趋势股、污水处理、HS300_、大盘成长、2026一季报预增、毫米波概念、无人驾驶、科技风格、富时罗素、MSCI中国、融资融券、深股通、台资控股、大盘股、PCB、数据中心、海峡两岸、服务器PCB、汽车电子、通信PCB,-7.710,155.25,143.26,4.27,0.95,8212.34万,57.05,17.9066,2834.20亿,2831.92亿
40,600703,三安光电,21.73,0.28,A股,120.74亿,电子-光学光电子-LED,三安光电,电子-光学光电子-LED,国产芯片、LED概念、周期股、数字经济、国家大基金持股、氮化镓、东方财富热股、大盘成长、无人驾驶、富时罗素、题材股、融资融券、低空经济、华为汽车、太空光伏、商业航天、金属回收、半导体概念、碳化硅、苹果概念、先进封装、数据中心、光伏概念、卫星导航、汽车芯片、MiniLED、光芯片、5G概念、昨日高振幅、光通信模块、新能源车、第三代半导体、标准普尔、小米概念、通信技术、消费电子概念、巨量转移、MicroLED、荣耀概念、CPO概念、科技风格、MSCI中国、安防概念、福建自贸区、宁组合、AI眼镜、充电桩、沪股通、大盘股、蓝宝石、MicroLED芯片、比亚迪概念、海峡两岸、植物照明,0.060,23.18,21.41,10.89,1.26,5.43亿,401.57,3.1063,1084.11亿,1084.11亿
