序号,代码,名称,最新价(元) 10:31,涨跌幅(%) 10:31,证券类型,涨跌幅(%) 2026.07.07,成交额(元) 2026.07.07,成交额(元) 10:31,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 10:31,最高价(元) 10:31,最低价(元) 10:31,换手率(%) 10:31,量比 10:31,成交量(股) 10:31,市盈率(动)(倍) 2026.07.10,市净率(倍) 2026.07.10,总市值(元) 2026.07.10,流通市值(元) 2026.07.10
11,001309,德明利,846.00,-1.68,A股,-8.98,125.02亿,66.61亿,电子-半导体-数字芯片设计,德明利,电子-半导体-数字芯片设计,国产芯片、光芯片、专精特新、5G概念、AIPC、昨日高振幅、2026一季报扭亏、长江存储、贬值受益、存储芯片、深成500、通信技术、东方财富热股、智能穿戴、大盘成长、信创、中芯概念、CPO概念、人工智能、科技风格、2025年报预增、MSCI中国、题材股、融资融券、深股通、中证500、半导体概念、大盘股、数据中心、汽车电子,-14.480,878.99,842.00,4.68,1.73,772.34万,14.34,28.9749,1919.11亿,1396.48亿
12,002185,华天科技,26.10,9.99,A股,9.98,119.99亿,13.88亿,电子-半导体-集成电路封测,华天科技,电子-半导体-集成电路封测,国产芯片、中盘股、5G概念、西部大开发、昨日高振幅、国家大基金持股、第三代半导体、氮化镓、存储芯片、标准普尔、深成500、华为概念、最近多板、通信技术、东方财富热股、高带宽内存、CPO概念、毫米波概念、人工智能、无人驾驶、富时罗素、物联网、MSCI中国、机器人概念、题材股、华为海思、融资融券、深股通、智能座舱、中证500、半导体概念、先进封装、比亚迪概念、先进封装材料、汽车芯片、传感器、汽车电子,2.370,26.10,26.10,1.60,0.43,5318.98万,249.87,4.8610,867.41亿,867.21亿
13,688525,佰维存储,415.50,-0.81,A股,-6.53,119.83亿,71.44亿,电子-半导体-数字芯片设计,佰维存储,电子-半导体-数字芯片设计,国产芯片、专精特新、AIPC、上证180_、国家大基金持股、存储芯片、华为概念、小米概念、智能穿戴、消费电子概念、信创、科技风格、2025年报预增、MSCI中国、阿里概念、AI手机、机器人概念、融资融券、AI眼镜、沪股通、半导体概念、先进封装、大盘股、数据中心、人形机器人、比亚迪概念、股权激励、汽车芯片、DRAM存储,-3.380,430.00,413.05,3.58,1.83,1686.51万,16.90,23.2223,1959.36亿,1959.36亿
14,301308,江波龙,622.05,0.33,A股,-7.91,117.71亿,64.58亿,电子-半导体-数字芯片设计,江波龙,电子-半导体-数字芯片设计,国产芯片、专精特新、深证100R、AIPC、贬值受益、国家大基金持股、长江存储、2026中报预增、存储芯片、深成500、华为概念、小米概念、东方财富热股、智能穿戴、消费电子概念、HS300_、AI手机结构件、信创、科技风格、2025年报预增、MSCI中国、AI手机、机器人概念、华为鲲鹏、数据安全、融资融券、AI眼镜、深股通、智能座舱、半导体概念、大盘股、先进封装、数据中心、长鑫存储、小米汽车、创业板综、DRAM存储、EDR概念,2.050,645.09,620.00,3.62,1.87,1021.14万,17.03,22.1035,2631.65亿,1753.26亿
15,300223,北京君正,233.40,-1.11,A股,-8.62,109.71亿,47.30亿,电子-半导体-数字芯片设计,北京君正,电子-半导体-数字芯片设计,国产芯片、中盘股、区块链、鸿蒙概念、贬值受益、抖音概念、CPU、3D打印、存储芯片、深成500、小米概念、智能穿戴、消费电子概念、SRAM存储、京津冀一体化、智能家居、毫米波概念、人工智能、无人驾驶、OLED、科技风格、富时罗素、MCU芯片、物联网、MSCI中国、人脸识别、机器人概念、安防概念、融资融券、AI眼镜、深股通、超清视频、智能座舱、中证500、半导体概念、智能音箱、机器视觉、3D打印设备、创业板综、汽车芯片、传感器、DRAM存储、汽车电子、MiniLED,-2.620,244.92,230.17,4.70,1.59,1981.34万,88.48,8.9045,1128.87亿,984.23亿
16,688041,海光信息,385.83,6.15,A股,1.06,105.72亿,115.16亿,电子-半导体-数字芯片设计,海光信息,电子-半导体-数字芯片设计,国产芯片、专精特新、东数西算、上证180_、抖音概念、CPU、水利建设、GPU、AI芯片、趋势股、HS300_、大盘成长、腾讯概念、信创、百度概念、DeepSeek概念、人工智能、中国AI 50、科技风格、MSCI中国、阿里概念、量子科技、权重股、融资融券、算力概念、沪股通、半导体概念、大盘股、上证50_、阿里系算力,22.370,395.17,365.87,1.30,3.45,3021.39万,326.30,38.7396,8967.99亿,8967.99亿
17,002371,北方华创,886.00,0.86,A股,0.35,105.62亿,72.85亿,电子-半导体-半导体设备,北方华创,电子-半导体-半导体设备,国产芯片、深证100R、昨日高振幅、长江存储、国家大基金持股、第三代半导体、氮化镓、存储芯片、标准普尔、深成500、华为概念、东方财富热股、电池技术、趋势股、HS300_、大盘成长、中芯概念、高带宽内存、光刻机/胶、央国企改革、中国AI 50、OLED、科技风格、富时罗素、MSCI中国、题材股、宁组合、权重股、华为海思、融资融券、深股通、半导体概念、大盘股、光伏概念、锂电池概念、茅指数,7.570,905.00,872.84,1.13,2.09,815.83万,98.33,16.5962,6429.61亿,6424.47亿
18,688012,中微公司,479.06,1.58,A股,0.01,103.50亿,82.58亿,电子-半导体-半导体设备,中微公司,电子-半导体-半导体设备,国产芯片、LED概念、区块链、上证180_、国家大基金持股、工业互联、存储芯片、东方财富热股、趋势股、HS300_、大盘成长、中芯概念、高带宽内存、科创板做市股、科技风格、富时罗素、MSCI中国、题材股、宁组合、融资融券、沪股通、半导体概念、大盘股、先进封装、上证50_、股权激励、先进封装设备、长江三角、MiniLED,7.470,492.05,468.10,1.82,2.22,1717.48万,122.61,16.6760,4563.55亿,4513.31亿
19,002281,光迅科技,247.46,3.76,A股,6.05,102.39亿,86.41亿,通信-通信设备-通信网络设备及器件,光迅科技,通信-通信设备-通信网络设备及器件,国产芯片、光芯片、5G概念、东数西算、昨日高振幅、OCS交换机、光通信模块、抖音概念、标准普尔、深成500、华为概念、最近多板、通信技术、东方财富热股、大盘成长、腾讯概念、央国企改革、百度概念、CPO概念、量子通信、科技风格、富时罗素、MSCI中国、阿里概念、量子科技、激光雷达、6G概念、融资融券、液冷概念、深股通、昨日首板、字节系算力、量子测量、中证500、F5G概念、大盘股、先进封装、华为系算力、数据中心、一带一路、光纤概念、6G元器件、湖北三资改革、湖北自贸,8.970,258.66,246.06,4.38,3.17,3417.97万,213.38,14.8128,2047.89亿,1931.42亿
20,300394,天孚通信,282.20,3.94,A股,2.99,102.10亿,97.92亿,通信-通信设备-通信网络设备及器件,天孚通信,通信-通信设备-通信网络设备及器件,专精特新、5G概念、深证100R、贬值受益、深成500、华为概念、通信技术、东方财富热股、HS300_、大盘成长、CPO概念、无人驾驶、科技风格、富时罗素、2025年报预增、MSCI中国、融资融券、深股通、算力概念、大盘股、MPO连接器、先进封装、数据中心、英伟达概念、光纤概念、创业板综,10.700,291.80,279.99,3.14,2.90,3416.18万,156.35,56.3096,3078.31亿,3071.43亿
21,688981,中芯国际,172.82,-0.10,A股,0.99,100.87亿,95.18亿,电子-半导体-集成电路制造,中芯国际,电子-半导体-集成电路制造,国产芯片、昨日高振幅、上证180_、国家大基金持股、存储芯片、东方财富热股、消费电子概念、HS300_、中芯概念、科创板做市股、百日新高 、中国AI 50、科技风格、OLED、物联网、MSCI中国、上海自贸、题材股、权重股、融资融券、行业龙头、近期新高、沪股通、半导体概念、大盘股、上证50_、历史新高 、茅指数、汽车电子,-0.180,176.34,168.80,2.75,2.21,5496.44万,271.75,9.8771,1.48万亿,3456.04亿
22,600522,中天科技,47.41,0.57,A股,-1.58,92.18亿,95.66亿,通信-通信设备-通信线缆及配套,中天科技,通信-通信设备-通信线缆及配套,国产芯片、海工装备、数字经济、上证180_、3D打印、铜缆高速连接、东方财富热股、空芯光纤、碳纤维、OLED、央视50_、富时罗素、物联网、阿里概念、机器人概念、数据要素、中越经济一体化、融资融券、低空经济、液冷概念、商业航天、绿色电力、半导体概念、特高压、PCB、数据中心、光伏概念、铁路基建、超导概念、光纤概念、智能电网、石墨烯、海洋经济、长江三角、碳中和、大数据、光纤光缆、数据中心液冷、5G概念、东数西算、昨日高振幅、证金持股、光通信模块、新能源车、钙钛矿电池、工业互联、标准普尔、航运概念、华为概念、通信技术、创投、电池技术、HS300_、固态电池、储能概念、核能核电、CPO概念、DeepSeek概念、超级电容、科技风格、海底电缆、MSCI中国、电网概念、量子科技、6G概念、充电桩、沪股通、参股券商、大盘股、PET铜箔、新能源、氢能源、系统集成、新材料、可控核聚变、一带一路、锂电池概念、中欧经济一体化、阿里系算力、风能、参股银行、汽车电子、柔性直流输电,0.270,49.78,47.17,5.78,3.04,1.97亿,44.02,4.3583,1618.08亿,1618.08亿
23,000021,深科技,61.52,9.39,A股,1.44,92.14亿,99.40亿,电子-消费电子-消费电子零部件及组装,深科技,电子-消费电子-消费电子零部件及组装,国产芯片、中盘股、区块链、昨日高振幅、数字经济、贬值受益、新能源车、光通信模块、第三代半导体、存储芯片、标准普尔、深圳特区、深成500、最近多板、东方财富热股、消费电子概念、储能概念、央国企改革、CPO概念、超级电容、科技风格、富时罗素、物联网、MSCI中国、电网概念、机器人概念、题材股、医疗器械概念、融资融券、深股通、虚拟电厂、昨日首板、无人机、中盘成长、中证500、半导体概念、先进封装、智能电网、先进封装材料、智能物流、汽车电子、DRAM存储,5.280,61.86,59.02,10.30,3.42,1.62亿,99.98,7.4424,968.55亿,968.42亿
24,000938,紫光股份,39.25,10.01,A股,-5.49,89.18亿,96.26亿,计算机-IT服务Ⅱ-IT服务Ⅲ,紫光股份,计算机-IT服务Ⅱ-IT服务Ⅲ,国产芯片、国资云概念、区块链、深证100R、数字经济、OCS交换机、抖音概念、参股新三板、深成500、AI智能体、东方财富热股、昨日高换手、趋势股、AI应用、国产操作系统、中国AI 50、富时罗素、物联网、阿里概念、机器人概念、数据要素、题材股、智慧政务、融资融券、液冷概念、AIGC概念、网络安全、数据中心、英伟达概念、大数据、5G概念、东数西算、IPv6、昨日高振幅、车联网、数字乡村、标准普尔、通信技术、创投、HS300_、数据存储、算力租赁、百日新高 、CPO概念、DeepSeek概念、人工智能、科技风格、MSCI中国、云计算、数据安全、安防概念、6G概念、数字孪生、微通道水冷板、深股通、算力概念、近期新高、IaaS、智慧城市、大盘股、互联网服务、WiFi6、WiFi,3.570,39.25,36.20,8.84,2.78,2.53亿,35.62,7.3174,1122.58亿,1122.58亿
25,600667,太极实业,27.11,3.20,A股,-3.98,87.89亿,71.19亿,建筑装饰-工程咨询服务Ⅱ-工程咨询服务Ⅲ,太极实业,建筑装饰-工程咨询服务Ⅱ-工程咨询服务Ⅲ,国产芯片、昨日高振幅、存储芯片、标准普尔、工程建设、最近多板、东方财富热股、昨日高换手、央国企改革、OLED、富时罗素、题材股、融资融券、昨日首板、上证380、沪股通、绿色电力、半导体概念、先进封装、数据中心、光伏概念、小盘股、小盘成长、长江三角、光伏建筑一体化,0.840,27.95,26.50,12.44,2.81,2.60亿,109.78,6.5879,567.02亿,567.02亿
26,688017,XD绿的谐,411.69,0.89,A股,2.44,87.56亿,30.33亿,机械设备-自动化设备-机器人,绿的谐波,机械设备-自动化设备-机器人,专精特新、中盘股、医疗器械概念、融资融券、中盘成长、上证380、中证500、沪股通、半导体概念、新型工业化、先进制造风格、新能源、人形机器人、中国AI 50、2025年报预增、减速器、机器人执行器、机器人概念,3.620,422.00,390.99,4.03,1.41,739.48万,578.19,21.3791,754.75亿,754.75亿
27,002475,立讯精密,64.55,0.14,A股,0.64,87.13亿,42.12亿,电子-消费电子-消费电子零部件及组装,立讯精密,电子-消费电子-消费电子零部件及组装,国产芯片、周期股、DAC无源铜缆、深证100R、贬值受益、3D摄像头、深圳特区、深成500、铜缆高速连接、智能穿戴、CDU、无人驾驶、富时罗素、无线充电、机器人概念、融资融券、液冷概念、商业航天、苹果概念、智能音箱、数据中心、无线耳机、5G概念、昨日高振幅、电子烟、证金持股、转债标的、光通信模块、新能源车、标准普尔、华为概念、通信技术、消费电子概念、HS300_、智能家居、CPO概念、毫米波概念、混合现实、科技风格、HUD抬头显示、MSCI中国、权重股、AI眼镜、深股通、充电桩、虚拟现实、智能座舱、华为手机、大盘股、机器视觉、人形机器人、茅指数、海峡两岸、汽车电子,0.090,65.66,63.80,0.89,1.59,6513.72万,34.07,5.6440,4986.67亿,4728.34亿
28,002156,通富微电,75.16,4.14,A股,3.07,85.76亿,83.54亿,电子-半导体-集成电路封测,通富微电,电子-半导体-集成电路封测,国产芯片、AIPC、昨日高振幅、贬值受益、国家大基金持股、第三代半导体、存储芯片、标准普尔、深成500、华为概念、最近多板、通信技术、东方财富热股、智能穿戴、消费电子概念、创投、大盘成长、CPO概念、毫米波概念、科技风格、富时罗素、2025年报预增、物联网、MSCI中国、华为海思、移动支付、融资融券、深股通、昨日首板、智能座舱、半导体概念、先进封装、大盘股、碳化硅、玻璃基板、比亚迪概念、海峡两岸、汽车芯片、长江三角、传感器、汽车电子、特斯拉概念,2.990,77.67,73.79,7.26,3.45,1.10亿,86.66,7.3420,1140.63亿,1140.52亿
29,300475,香农芯创,273.89,2.21,A股,-7.80,84.02亿,57.05亿,电子-其他电子Ⅱ-其他电子Ⅲ,香农芯创,电子-其他电子Ⅱ-其他电子Ⅲ,国产芯片、中盘股、融资融券、东数西算、行业龙头、深股通、贬值受益、抖音概念、中盘成长、中证500、半导体概念、存储芯片、深成500、芯片分销、数据中心、腾讯概念、高带宽内存、2026一季报预增、创业板综、科技风格、2025年报预增、MSCI中国、阿里概念,5.910,283.10,263.02,4.62,2.25,2077.62万,24.22,26.2712,1286.03亿,1232.60亿
30,002747,埃斯顿,42.27,1.78,A股,6.45,83.04亿,34.44亿,机械设备-自动化设备-机器人,埃斯顿,机械设备-自动化设备-机器人,专精特新、工业母机、工业互联、深成500、宁德时代概念、新型工业化、长安汽车概念、东方财富热股、昨日高换手、趋势股、农机、人工智能、富时罗素、机器人概念、医疗器械概念、融资融券、2025年报扭亏、深股通、养老概念、小盘股、光伏概念、机器视觉、人形机器人、比亚迪概念、高端装备、小盘成长、智能医疗,0.740,42.77,40.30,10.55,2.29,8253.73万,104.53,12.6348,409.09亿,330.72亿
31,300059,东方财富,20.27,-1.55,A股,-4.20,82.83亿,34.64亿,非银金融-证券Ⅱ-证券Ⅲ,东方财富,非银金融-证券Ⅱ-证券Ⅲ,区块链、周期股、鸿蒙概念、深证100R、参股期货、证金持股、互联网保险、深成500、东方财富热股、HS300_、互联网金融、AI应用、DeepSeek概念、人工智能、富时罗素、金融地产风格、网红经济、MSCI中国、数据要素、权重股、融资融券、深股通、虚拟机器人、AIGC概念、券商概念、大盘股、互联网服务、国产软件、茅指数、创业板综、长江三角、大数据,-0.320,20.45,20.10,1.28,1.78,1.71亿,21.45,3.4018,3207.16亿,2706.71亿
32,688498,源杰科技,1752.78,0.39,A股,4.58,81.98亿,41.40亿,电子-半导体-分立器件,源杰科技,电子-半导体-分立器件,国产芯片、光芯片、融资融券、5G概念、西部大开发、2025年报扭亏、光通信模块、上证380、中证500、沪股通、半导体概念、大盘股、华为概念、通信技术、数据中心、大盘成长、光纤概念、CPO概念、科技风格、汽车芯片、MSCI中国,6.770,1829.00,1731.04,1.88,2.00,231.49万,303.89,88.4958,2181.21亿,2153.03亿
33,300476,胜宏科技,297.10,0.13,A股,-2.68,80.14亿,59.90亿,电子-元件-印制电路板,胜宏科技,电子-元件-印制电路板,国产芯片、5G概念、周期股、东数西算、深证100R、乡村振兴、AIPC、贬值受益、新能源车、深成500、小米概念、通信技术、HS300_、大盘成长、CPO概念、摩尔链、OLED、科技风格、富时罗素、富士康概念、2025年报预增、物联网、MSCI中国、机器人概念、AI手机、权重股、融资融券、行业龙头、深股通、虚拟现实、大盘股、PCB、数据中心、英伟达概念、光伏概念、人形机器人、海峡两岸、智能电网、创业板综、汽车电子、特斯拉概念,0.400,305.45,294.58,2.31,2.44,1999.94万,56.66,18.6406,2919.85亿,2570.49亿
34,603259,药明康德,124.47,2.81,A股,-3.80,79.82亿,36.49亿,医药生物-医疗服务-医疗研发外包,药明康德,医药生物-医疗服务-医疗研发外包,CAR-T细胞疗法、CRO、创新医疗服务、宁组合、权重股、融资融券、行业龙头、上证180_、贬值受益、沪股通、标准普尔、大盘股、医药医疗风格、HS300_、上证50_、茅指数、独角兽、富时罗素、创新药、2025年报预增、MSCI中国,3.400,125.53,120.00,1.20,1.69,2962.21万,19.96,4.6710,3713.88亿,3078.49亿
35,300750,宁德时代,361.97,-3.60,A股,-0.54,77.97亿,62.42亿,电力设备-电池-锂电池,宁德时代,电力设备-电池-锂电池,钠离子电池、周期股、深证100R、新能源车、深成500、宁德时代概念、先进制造风格、华为概念、长安汽车概念、电池技术、HS300_、固态电池、储能概念、蚂蚁概念、富时罗素、MSCI中国、动力电池回收、宁组合、权重股、融资融券、行业龙头、华为汽车、深股通、大盘股、麒麟电池、小米汽车、换电概念、锂电池概念、茅指数、创业板综、锂矿概念、特斯拉概念,-13.530,375.20,361.06,0.40,2.49,1711.31万,20.19,5.1243,1.67万亿,1.54万亿
36,002463,沪电股份,137.36,0.04,A股,0.69,77.02亿,51.53亿,电子-元件-印制电路板,沪电股份,电子-元件-印制电路板,国产芯片、5G概念、周期股、深证100R、昨日高振幅、贬值受益、新能源车、标准普尔、深成500、华为概念、通信技术、污水处理、HS300_、大盘成长、2026一季报预增、毫米波概念、无人驾驶、科技风格、富时罗素、MSCI中国、融资融券、深股通、台资控股、大盘股、PCB、数据中心、海峡两岸、服务器PCB、汽车电子、通信PCB,0.060,141.89,136.07,1.92,2.09,3698.51万,53.20,16.7005,2643.31亿,2641.17亿
37,002407,多氟多,43.33,-0.73,A股,-1.11,75.85亿,48.79亿,基础化工-化学制品-氟化工,多氟多,基础化工-化学制品-氟化工,钠离子电池、国产芯片、六氟磷酸锂、中盘股、昨日高振幅、化工原料、新能源车、第三代半导体、工业互联、标准普尔、深成500、存储芯片、东方财富热股、创投、昨日高换手、电池技术、固态电池、储能概念、核能核电、中芯概念、PVDF概念、独角兽、富时罗素、动力电池回收、题材股、中盘价值、数字孪生、融资融券、2025年报扭亏、深股通、中证500、硅能源、半导体概念、氟化工概念、新材料、锂电池概念、比亚迪概念、氢氟酸、股权激励、特斯拉概念,-0.320,45.69,42.99,10.18,2.09,1.10亿,34.34,6.0406,515.81亿,467.43亿
38,002916,深南电路,453.08,2.38,A股,-6.38,75.68亿,32.81亿,电子-元件-印制电路板,深南电路,电子-元件-印制电路板,国产芯片、5G概念、周期股、深证100R、昨日高振幅、国家大基金持股、新能源车、存储芯片、标准普尔、深圳特区、深成500、华为概念、最近多板、通信技术、东方财富热股、HS300_、大盘成长、央国企改革、科技风格、富时罗素、富士康概念、2025年报预增、MSCI中国、融资融券、深股通、昨日首板、养老金、大盘股、苹果概念、先进封装、PCB、数据中心、中特估、服务器PCB、汽车电子、通信PCB,10.520,459.80,442.00,1.09,1.85,726.16万,90.75,18.7548,3086.23亿,3012.12亿
39,300408,三环集团,134.90,0.81,A股,-1.22,75.07亿,58.43亿,电子-元件-被动元件,三环集团,电子-元件-被动元件,5G概念、周期股、深证100R、证金持股、燃料电池概念、光通信模块、深成500、华为概念、小米概念、通信技术、智能穿戴、电池技术、消费电子概念、HS300_、大盘成长、CPO概念、科技风格、富时罗素、MLCC、MSCI中国、融资融券、深股通、大盘股、被动元件概念、数据中心、新材料、光纤概念、创业板综、SOFC,1.090,144.49,134.18,2.25,2.24,4199.98万,84.77,12.4514,2681.63亿,2522.37亿
