序号,代码,名称,最新价(元) 10:28,涨跌幅(%) 10:28,证券类型,成交额(元) 10:28,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 10:28,最高价(元) 10:28,最低价(元) 10:28,换手率(%) 10:28,量比 10:28,成交量(股) 10:28,市盈率(动)(倍) 2026.07.10,市净率(倍) 2026.07.10,总市值(元) 2026.07.10,流通市值(元) 2026.07.10
11,000063,中兴通讯,42.75,6.00,A股,103.53亿,通信-通信设备-通信网络设备及器件,中兴通讯,通信-通信设备-通信网络设备及器件,国产芯片、屏下摄像、多模态AI、区块链、深证100R、乡村振兴、数字经济、抖音概念、深圳特区、深成500、AI智能体、AI芯片、交换机、东方财富热股、智能穿戴、腾讯概念、边缘计算、AI应用、国产操作系统、量子通信、中国AI 50、富时罗素、无线充电、物联网、机器人概念、低空经济、融资融券、液冷概念、超清视频、无人机、商业航天、ChatGPT概念、网络安全、数据中心、AI手机代工、卫星导航、光纤概念、星闪概念、汽车芯片、智能医疗、无线耳机、数据中心液冷、5G概念、东数西算、IPv6、昨日高振幅、通感一体化、证金持股、新能源车、元宇宙概念、DPU、车联网、水利建设、工业互联、标准普尔、通信技术、消费电子概念、HS300_、信创、百度概念、在线教育、DeepSeek概念、人工智能、科技风格、MSCI中国、AI手机、量子科技、卫星互联网、云计算、6G概念、AI眼镜、深股通、算力概念、虚拟现实、空管系统、智慧城市、大盘股、人形机器人、锂电池概念、比亚迪概念、海峡两岸、太赫兹、汽车电子,2.420,43.00,39.63,6.22,4.52,2.51亿,39.01,2.6666,2044.96亿,1721.81亿
12,002008,大族激光,138.25,5.61,A股,100.52亿,机械设备-自动化设备-激光设备,大族激光,机械设备-自动化设备-激光设备,国产芯片、火箭发射、钙钛矿设备、3D打印、深圳特区、深成500、存储芯片、新型工业化、宁德时代概念、东方财富热股、大盘成长、OLED、央视50_、富时罗素、物联网、机器人概念、MicroLED设备、融资融券、商业航天、半导体概念、苹果概念、先进封装、PCB、光伏概念、玻璃基板、光纤概念、先进封装材料、机器人执行器、MiniLED、工业母机、昨日高振幅、证金持股、新能源车、钙钛矿电池、第三代半导体、2026中报预增、标准普尔、先进制造风格、华为概念、TOPCON电池、小米概念、电池技术、消费电子概念、固态电池、巨量转移、MicroLED、光刻机/胶、混合现实、富士康概念、MSCI中国、AI眼镜、深股通、中证500、蓝箭航天、银河通用、大盘股、机器视觉、锂电池概念、HJT电池、比亚迪概念、3D打印设备、高端装备、先进封装设备、电池设备、减速器、TOPCon电池、特斯拉概念,7.350,139.90,127.00,7.83,6.33,7488.87万,100.51,6.9563,1423.43亿,1322.68亿
13,000021,深科技,61.85,9.98,A股,96.88亿,电子-消费电子-消费电子零部件及组装,深科技,电子-消费电子-消费电子零部件及组装,国产芯片、中盘股、区块链、昨日高振幅、数字经济、贬值受益、新能源车、光通信模块、第三代半导体、存储芯片、标准普尔、深圳特区、深成500、最近多板、东方财富热股、消费电子概念、储能概念、央国企改革、CPO概念、超级电容、科技风格、富时罗素、物联网、MSCI中国、电网概念、机器人概念、题材股、医疗器械概念、融资融券、深股通、虚拟电厂、昨日首板、无人机、中盘成长、中证500、半导体概念、先进封装、智能电网、先进封装材料、智能物流、汽车电子、DRAM存储,5.610,61.86,59.02,10.04,3.45,1.58亿,100.52,7.4823,973.75亿,973.62亿
14,300394,天孚通信,284.33,4.73,A股,96.63亿,通信-通信设备-通信网络设备及器件,天孚通信,通信-通信设备-通信网络设备及器件,专精特新、5G概念、深证100R、贬值受益、深成500、华为概念、通信技术、东方财富热股、HS300_、大盘成长、CPO概念、无人驾驶、科技风格、富时罗素、2025年报预增、MSCI中国、融资融券、深股通、算力概念、大盘股、MPO连接器、先进封装、数据中心、英伟达概念、光纤概念、创业板综,12.830,291.80,279.99,3.10,3.01,3370.42万,157.53,56.7346,3101.54亿,3094.61亿
15,000938,紫光股份,39.25,10.01,A股,95.98亿,计算机-IT服务Ⅱ-IT服务Ⅲ,紫光股份,计算机-IT服务Ⅱ-IT服务Ⅲ,国产芯片、国资云概念、区块链、深证100R、数字经济、OCS交换机、抖音概念、参股新三板、深成500、AI智能体、东方财富热股、昨日高换手、趋势股、AI应用、国产操作系统、中国AI 50、富时罗素、物联网、阿里概念、机器人概念、数据要素、题材股、智慧政务、融资融券、液冷概念、AIGC概念、网络安全、数据中心、英伟达概念、大数据、5G概念、东数西算、IPv6、昨日高振幅、车联网、数字乡村、标准普尔、通信技术、创投、HS300_、数据存储、算力租赁、百日新高 、CPO概念、DeepSeek概念、人工智能、科技风格、MSCI中国、云计算、数据安全、安防概念、6G概念、数字孪生、微通道水冷板、深股通、算力概念、近期新高、IaaS、智慧城市、大盘股、互联网服务、WiFi6、WiFi,3.570,39.25,36.20,8.81,2.92,2.52亿,35.62,7.3174,1122.58亿,1122.58亿
16,688256,寒武纪,1565.65,2.00,A股,95.14亿,电子-半导体-数字芯片设计,寒武纪,电子-半导体-数字芯片设计,国产芯片、东数西算、上证180_、AI芯片、HS300_、大盘成长、边缘计算、人工智能、国产操作系统、中国AI 50、科技风格、MSCI中国、阿里概念、权重股、融资融券、2025年报扭亏、算力概念、沪股通、ASIC芯片、半导体概念、先进封装、大盘股、数据中心、上证50_、阿里系算力、汽车芯片,30.640,1565.65,1512.00,0.99,2.07,619.30万,242.71,80.3742,9836.87亿,9836.87亿
17,600522,中天科技,47.94,1.70,A股,93.97亿,通信-通信设备-通信线缆及配套,中天科技,通信-通信设备-通信线缆及配套,国产芯片、海工装备、数字经济、上证180_、3D打印、铜缆高速连接、东方财富热股、空芯光纤、碳纤维、OLED、央视50_、富时罗素、物联网、阿里概念、机器人概念、数据要素、中越经济一体化、融资融券、低空经济、液冷概念、商业航天、绿色电力、半导体概念、特高压、PCB、数据中心、光伏概念、铁路基建、超导概念、光纤概念、智能电网、石墨烯、海洋经济、长江三角、碳中和、大数据、光纤光缆、数据中心液冷、5G概念、东数西算、昨日高振幅、证金持股、光通信模块、新能源车、钙钛矿电池、工业互联、标准普尔、航运概念、华为概念、通信技术、创投、电池技术、HS300_、固态电池、储能概念、核能核电、CPO概念、DeepSeek概念、超级电容、科技风格、海底电缆、MSCI中国、电网概念、量子科技、6G概念、充电桩、沪股通、参股券商、大盘股、PET铜箔、新能源、氢能源、系统集成、新材料、可控核聚变、一带一路、锂电池概念、中欧经济一体化、阿里系算力、风能、参股银行、汽车电子、柔性直流输电,0.800,49.78,47.17,5.68,3.14,1.94亿,44.51,4.4070,1636.17亿,1636.17亿
18,688981,中芯国际,173.66,0.38,A股,93.72亿,电子-半导体-集成电路制造,中芯国际,电子-半导体-集成电路制造,国产芯片、昨日高振幅、上证180_、国家大基金持股、存储芯片、东方财富热股、消费电子概念、HS300_、中芯概念、科创板做市股、百日新高 、中国AI 50、科技风格、OLED、物联网、MSCI中国、上海自贸、题材股、权重股、融资融券、行业龙头、近期新高、沪股通、半导体概念、大盘股、上证50_、历史新高 、茅指数、汽车电子,0.660,176.34,168.80,2.71,2.29,5412.02万,273.04,9.9240,1.49万亿,3472.44亿
19,600176,中国巨石,59.29,1.01,A股,90.11亿,建筑材料-玻璃玻纤-玻纤制造,中国巨石,建筑材料-玻璃玻纤-玻纤制造,周期股、昨日高振幅、上证180_、标准普尔、东方财富热股、HS300_、2026一季报预增、央国企改革、DeepSeek概念、中字头、富时罗素、PEEK材料概念、MSCI中国、题材股、融资融券、行业龙头、养老金、沪股通、电子布、大盘股、PCB、光伏概念、新材料、一带一路、中欧经济一体化、风能、长江三角,0.590,63.00,58.00,3.73,2.66,1.48亿,46.83,7.5268,2373.46亿,2354.75亿
20,603019,中科曙光,111.53,7.25,A股,89.88亿,计算机-计算机设备-其他计算机设备,中科曙光,计算机-计算机设备-其他计算机设备,国产芯片、区块链、数字经济、上证180_、抖音概念、冷却液、新型工业化、AI智能体、东方财富热股、大盘成长、腾讯概念、边缘计算、独角兽、国产操作系统、中国AI 50、量子通信、中字头、富时罗素、题材股、融资融券、液冷概念、网络安全、数据中心、Web3.0、智能电网、智能医疗、大数据、数据中心液冷、东数西算、昨日高振幅、工业互联、标准普尔、创投、HS300_、信创、VPN、算力租赁、百度概念、央国企改革、DeepSeek概念、人工智能、科技风格、MSCI中国、量子科技、云计算、数据安全、数字孪生、雄安新区、算力概念、沪股通、智慧城市、大盘股、上证50_、一带一路、中特估、智谱AI,7.540,112.00,102.70,5.70,3.64,8343.08万,179.05,7.4173,1631.81亿,1631.74亿
21,002281,光迅科技,249.25,4.51,A股,85.12亿,通信-通信设备-通信网络设备及器件,光迅科技,通信-通信设备-通信网络设备及器件,国产芯片、光芯片、5G概念、东数西算、昨日高振幅、OCS交换机、光通信模块、抖音概念、标准普尔、深成500、华为概念、最近多板、通信技术、东方财富热股、大盘成长、腾讯概念、央国企改革、百度概念、CPO概念、量子通信、科技风格、富时罗素、MSCI中国、阿里概念、量子科技、激光雷达、6G概念、融资融券、液冷概念、深股通、昨日首板、字节系算力、量子测量、中证500、F5G概念、大盘股、先进封装、华为系算力、数据中心、一带一路、光纤概念、6G元器件、湖北三资改革、湖北自贸,10.760,258.66,246.06,4.31,3.28,3365.88万,214.93,14.9199,2062.71亿,1945.39亿
22,002156,通富微电,75.89,5.15,A股,82.58亿,电子-半导体-集成电路封测,通富微电,电子-半导体-集成电路封测,国产芯片、AIPC、昨日高振幅、贬值受益、国家大基金持股、第三代半导体、存储芯片、标准普尔、深成500、华为概念、最近多板、通信技术、东方财富热股、智能穿戴、消费电子概念、创投、大盘成长、CPO概念、毫米波概念、科技风格、富时罗素、2025年报预增、物联网、MSCI中国、华为海思、移动支付、融资融券、深股通、昨日首板、智能座舱、半导体概念、先进封装、大盘股、碳化硅、玻璃基板、比亚迪概念、海峡两岸、汽车芯片、长江三角、传感器、汽车电子、特斯拉概念,3.720,77.67,73.79,7.18,3.58,1.09亿,87.50,7.4134,1151.70亿,1151.59亿
23,688012,中微公司,483.02,2.42,A股,80.84亿,电子-半导体-半导体设备,中微公司,电子-半导体-半导体设备,国产芯片、LED概念、区块链、上证180_、国家大基金持股、工业互联、存储芯片、东方财富热股、趋势股、HS300_、大盘成长、中芯概念、高带宽内存、科创板做市股、科技风格、富时罗素、MSCI中国、题材股、宁组合、融资融券、沪股通、半导体概念、大盘股、先进封装、上证50_、股权激励、先进封装设备、长江三角、MiniLED,11.430,492.05,468.10,1.78,2.28,1681.27万,123.64,16.8153,4601.66亿,4551.00亿
24,601138,工业富联,68.62,-1.31,A股,78.76亿,电子-消费电子-消费电子零部件及组装,工业富联,电子-消费电子-消费电子零部件及组装,国产芯片、数据中心液冷、区块链、5G概念、两岸合作、东数西算、昨日高振幅、上证180_、新能源车、车联网、工业互联、2026中报预增、标准普尔、深圳特区、新型工业化、东方财富热股、创投、HS300_、UQD连接器、算力租赁、CPO概念、独角兽、人工智能、科技风格、富时罗素、富士康概念、2025年报预增、物联网、MSCI中国、阿里概念、机器人概念、云计算、权重股、融资融券、医疗器械概念、行业龙头、液冷概念、算力概念、虚拟现实、沪股通、智慧城市、大盘股、苹果概念、数据中心、英伟达概念、海峡两岸、大数据,-0.910,71.00,68.01,0.57,3.28,1.13亿,32.13,7.7274,1.36万亿,1.36万亿
25,002371,北方华创,891.03,1.43,A股,71.97亿,电子-半导体-半导体设备,北方华创,电子-半导体-半导体设备,国产芯片、深证100R、昨日高振幅、长江存储、国家大基金持股、第三代半导体、氮化镓、存储芯片、标准普尔、深成500、华为概念、东方财富热股、电池技术、趋势股、HS300_、大盘成长、中芯概念、高带宽内存、光刻机/胶、央国企改革、中国AI 50、OLED、科技风格、富时罗素、MSCI中国、题材股、宁组合、权重股、华为海思、融资融券、深股通、半导体概念、大盘股、光伏概念、锂电池概念、茅指数,12.600,905.00,872.84,1.11,2.17,805.96万,98.89,16.6904,6466.11亿,6460.95亿
26,688525,佰维存储,418.69,-0.05,A股,70.60亿,电子-半导体-数字芯片设计,佰维存储,电子-半导体-数字芯片设计,国产芯片、专精特新、AIPC、上证180_、国家大基金持股、存储芯片、华为概念、小米概念、智能穿戴、消费电子概念、信创、科技风格、2025年报预增、MSCI中国、阿里概念、AI手机、机器人概念、融资融券、AI眼镜、沪股通、半导体概念、先进封装、大盘股、数据中心、人形机器人、比亚迪概念、股权激励、汽车芯片、DRAM存储,-0.190,430.00,413.05,3.53,1.90,1666.33万,17.03,23.4006,1974.40亿,1974.40亿
27,300604,长川科技,394.92,5.59,A股,70.37亿,电子-半导体-半导体设备,长川科技,电子-半导体-半导体设备,国产芯片、专精特新、两岸合作、昨日高振幅、国家大基金持股、2026中报预增、存储芯片、深成500、东方财富热股、趋势股、大盘成长、2025三季报预增、百日新高 、科技风格、2025年报预增、MSCI中国、题材股、融资融券、深股通、近期新高、中证500、半导体概念、大盘股、历史新高 、海峡两岸、创业板综,20.920,395.00,373.50,3.74,2.45,1830.93万,177.67,49.8129,2505.45亿,1933.02亿
28,600667,太极实业,27.10,3.16,A股,70.25亿,建筑装饰-工程咨询服务Ⅱ-工程咨询服务Ⅲ,太极实业,建筑装饰-工程咨询服务Ⅱ-工程咨询服务Ⅲ,国产芯片、昨日高振幅、存储芯片、标准普尔、工程建设、最近多板、东方财富热股、昨日高换手、央国企改革、OLED、富时罗素、题材股、融资融券、昨日首板、上证380、沪股通、绿色电力、半导体概念、先进封装、数据中心、光伏概念、小盘股、小盘成长、长江三角、光伏建筑一体化,0.830,27.95,26.50,12.27,2.91,2.57亿,109.74,6.5855,566.81亿,566.81亿
29,000988,华工科技,165.53,4.11,A股,69.64亿,机械设备-自动化设备-激光设备,华工科技,机械设备-自动化设备-激光设备,国产芯片、全息技术、深证100R、乡村振兴、高压快充、3D打印、深成500、存储芯片、铜缆高速连接、宁德时代概念、新型工业化、AI智能体、东方财富热股、大盘成长、腾讯概念、农机、2026一季报预增、独角兽、量子通信、富时罗素、物联网、基因测序、阿里概念、机器人概念、数据要素、航空发动机、融资融券、华为汽车、F5G概念、商业航天、半导体概念、苹果概念、先进封装、PCB、华为系算力、玻璃基板、卫星导航、汽车热管理、湖北三资改革、湖北自贸、MiniLED、光芯片、专精特新、5G概念、工业母机、东数西算、昨日高振幅、光通信模块、新能源车、钙钛矿电池、第三代半导体、工业互联、标准普尔、柔性屏、先进制造风格、华为概念、通信技术、长安汽车概念、创投、HS300_、MicroLED、央国企改革、智能家居、百度概念、CPO概念、DeepSeek概念、MSCI中国、量子科技、大飞机、数字孪生、6G概念、移动支付、充电桩、深股通、智能座舱、智慧城市、大盘股、蓝宝石、IPO受益、氢能源、新材料、比亚迪概念、锂电池概念、6G元器件、高端装备、传感器、汽车电子、3D玻璃、特斯拉概念,6.530,168.98,162.88,4.17,3.28,4185.82万,65.17,14.5509,1664.41亿,1663.55亿
30,001309,德明利,848.89,-1.35,A股,65.36亿,电子-半导体-数字芯片设计,德明利,电子-半导体-数字芯片设计,国产芯片、光芯片、专精特新、5G概念、AIPC、昨日高振幅、2026一季报扭亏、长江存储、贬值受益、存储芯片、深成500、通信技术、东方财富热股、智能穿戴、大盘成长、信创、中芯概念、CPO概念、人工智能、科技风格、2025年报预增、MSCI中国、题材股、融资融券、深股通、中证500、半导体概念、大盘股、数据中心、汽车电子,-11.590,878.99,842.00,4.59,1.79,757.63万,14.39,29.0739,1925.67亿,1401.25亿
31,688347,华虹宏力,394.06,-1.61,A股,64.37亿,电子-半导体-集成电路制造,华虹宏力,电子-半导体-集成电路制造,题材股、国产芯片、融资融券、昨日高振幅、近期新高、国家大基金持股、上证380、中证500、沪股通、半导体概念、存储芯片、大盘股、趋势股、消费电子概念、大盘成长、历史新高 、央国企改革、百日新高 、科技风格、MSCI中国、沪企改革,-6.440,407.98,375.00,4.05,2.59,1651.09万,1226.63,15.1336,6847.68亿,1606.78亿
32,301308,江波龙,622.60,0.42,A股,63.57亿,电子-半导体-数字芯片设计,江波龙,电子-半导体-数字芯片设计,国产芯片、专精特新、深证100R、AIPC、贬值受益、国家大基金持股、长江存储、2026中报预增、存储芯片、深成500、华为概念、小米概念、东方财富热股、智能穿戴、消费电子概念、HS300_、AI手机结构件、信创、科技风格、2025年报预增、MSCI中国、AI手机、机器人概念、华为鲲鹏、数据安全、融资融券、AI眼镜、深股通、智能座舱、半导体概念、大盘股、先进封装、数据中心、长鑫存储、小米汽车、创业板综、DRAM存储、EDR概念,2.600,645.09,620.00,3.57,1.93,1004.91万,17.05,22.1230,2633.98亿,1754.81亿
33,300750,宁德时代,361.90,-3.62,A股,59.16亿,电力设备-电池-锂电池,宁德时代,电力设备-电池-锂电池,钠离子电池、周期股、深证100R、新能源车、深成500、宁德时代概念、先进制造风格、华为概念、长安汽车概念、电池技术、HS300_、固态电池、储能概念、蚂蚁概念、富时罗素、MSCI中国、动力电池回收、宁组合、权重股、融资融券、行业龙头、华为汽车、深股通、大盘股、麒麟电池、小米汽车、换电概念、锂电池概念、茅指数、创业板综、锂矿概念、特斯拉概念,-13.600,375.20,361.50,0.38,2.47,1621.29万,20.19,5.1233,1.67万亿,1.54万亿
34,300476,胜宏科技,299.37,0.90,A股,58.94亿,电子-元件-印制电路板,胜宏科技,电子-元件-印制电路板,国产芯片、5G概念、周期股、东数西算、深证100R、乡村振兴、AIPC、贬值受益、新能源车、深成500、小米概念、通信技术、HS300_、大盘成长、CPO概念、摩尔链、OLED、科技风格、富时罗素、富士康概念、2025年报预增、物联网、MSCI中国、机器人概念、AI手机、权重股、融资融券、行业龙头、深股通、虚拟现实、大盘股、PCB、数据中心、英伟达概念、光伏概念、人形机器人、海峡两岸、智能电网、创业板综、汽车电子、特斯拉概念,2.670,305.45,294.58,2.27,2.53,1967.81万,57.09,18.7837,2942.26亿,2590.22亿
35,300408,三环集团,135.97,1.61,A股,57.33亿,电子-元件-被动元件,三环集团,电子-元件-被动元件,5G概念、周期股、深证100R、证金持股、燃料电池概念、光通信模块、深成500、华为概念、小米概念、通信技术、智能穿戴、电池技术、消费电子概念、HS300_、大盘成长、CPO概念、科技风格、富时罗素、MLCC、MSCI中国、融资融券、深股通、大盘股、被动元件概念、数据中心、新材料、光纤概念、创业板综、SOFC,2.160,144.49,134.18,2.20,2.31,4118.66万,85.48,12.5567,2704.29亿,2543.68亿
36,300475,香农芯创,276.65,3.24,A股,56.22亿,电子-其他电子Ⅱ-其他电子Ⅲ,香农芯创,电子-其他电子Ⅱ-其他电子Ⅲ,国产芯片、中盘股、融资融券、东数西算、行业龙头、深股通、贬值受益、抖音概念、中盘成长、中证500、半导体概念、存储芯片、深成500、芯片分销、数据中心、腾讯概念、高带宽内存、2026一季报预增、创业板综、科技风格、2025年报预增、MSCI中国、阿里概念,8.670,283.10,263.02,4.55,2.33,2047.35万,24.47,26.5417,1299.27亿,1245.29亿
37,600183,生益科技,158.20,0.51,A股,55.66亿,电子-元件-印制电路板,生益科技,电子-元件-印制电路板,国产芯片、5G概念、周期股、昨日高振幅、上证180_、新能源车、光通信模块、存储芯片、标准普尔、华为概念、通信技术、东方财富热股、HS300_、大盘成长、2025三季报预增、毫米波概念、CPO概念、科技风格、富时罗素、2025年报预增、MSCI中国、融资融券、沪股通、商业航天、大盘股、先进封装、PCB、上证50_、先进封装材料、汽车电子、MiniLED,0.800,163.48,156.44,1.45,2.38,3468.76万,82.95,24.0413,3842.87亿,3788.10亿
38,600206,有研新材,63.15,6.35,A股,55.05亿,电子-半导体-半导体材料,有研新材,电子-半导体-半导体材料,国产芯片、5G概念、昨日高振幅、磁材加工、长江存储、国家大基金持股、3D打印、存储芯片、标准普尔、华为概念、最近多板、通信技术、东方财富热股、尾气治理、昨日高换手、趋势股、2025三季报预增、中芯概念、京津冀一体化、央国企改革、OLED、小金属概念、富时罗素、牙科医疗、2025年报预增、题材股、军工、稀土永磁、雄安新区、医疗器械概念、融资融券、沪股通、半导体概念、先进封装、新能源、小盘股、新材料、光纤概念、先进封装材料、传感器,3.770,64.13,60.80,10.38,3.01,8784.79万,151.41,12.5387,534.60亿,534.60亿
39,301526,国际复材,40.12,3.27,A股,51.32亿,建筑材料-玻璃玻纤-玻纤制造,国际复材,建筑材料-玻璃玻纤-玻纤制造,中盘股、5G概念、西部大开发、数字经济、工业互联、深成500、华为概念、通信技术、消费电子概念、央国企改革、PEEK材料概念、融资融券、2025年报扭亏、深股通、中盘成长、中证500、华为手机、绿色电力、电子布、特高压、PCB、光伏概念、一带一路、创业板综、风能、汽车电子,1.270,43.00,39.30,8.89,2.59,1.25亿,139.98,17.8820,1512.88亿,563.44亿
