序号,代码,名称,最新价(元) 2026.06.25,涨跌幅(%) 2026.06.25,证券类型,股票简称,涨跌幅(%) 2026.06.24,成交额(元) 2026.06.24,成交额(元) 2026.06.25,申万行业分类,东财行业总分类,概念,涨跌额(元) 2026.06.25,最高价(元) 2026.06.25,最低价(元) 2026.06.25,换手率(%) 2026.06.25,量比 2026.06.25,成交量(股) 2026.06.25,市盈率(动)(倍) 2026.06.25,市净率(倍) 2026.06.25,总市值(元) 2026.06.25,流通市值(元) 2026.06.25
17,002156,通富微电,77.81,4.25,A股,通富微电,9.09,145.57亿,162.73亿,电子-半导体-集成电路封测,电子-半导体-集成电路封测,国产芯片、AIPC、昨日高振幅、贬值受益、国家大基金持股、第三代半导体、存储芯片、标准普尔、深成500、华为概念、通信技术、东方财富热股、智能穿戴、消费电子概念、创投、大盘成长、CPO概念、毫米波概念、科技风格、富时罗素、2025年报预增、物联网、MSCI中国、华为海思、移动支付、融资融券、深股通、智能座舱、半导体概念、先进封装、大盘股、碳化硅、玻璃基板、比亚迪概念、海峡两岸、汽车芯片、长江三角、传感器、汽车电子、特斯拉概念,3.170,79.38,74.00,13.86,1.18,2.10亿,89.71,7.6009,1180.84亿,1180.73亿
18,300059,东方财富,21.11,4.61,A股,东方财富,-3.44,144.99亿,189.16亿,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,区块链、周期股、鸿蒙概念、深证100R、参股期货、证金持股、互联网保险、深成500、东方财富热股、HS300_、互联网金融、AI应用、DeepSeek概念、人工智能、富时罗素、金融地产风格、网红经济、MSCI中国、数据要素、权重股、融资融券、深股通、虚拟机器人、AIGC概念、券商概念、大盘股、互联网服务、国产软件、茅指数、创业板综、长江三角、大数据,0.930,21.57,20.04,6.77,1.28,9.04亿,22.34,3.5428,3340.07亿,2818.88亿
19,001309,德明利,891.00,10.00,A股,德明利,7.28,143.30亿,176.68亿,电子-半导体-数字芯片设计,电子-半导体-数字芯片设计,国产芯片、光芯片、粤港澳大湾区、专精特新、5G概念、AIPC、昨日高振幅、2026一季报扭亏、贬值受益、长江存储、存储芯片、深成500、通信技术、东方财富热股、智能穿戴、大盘成长、信创、中芯概念、百日新高 、CPO概念、人工智能、科技风格、2025年报预增、MSCI中国、题材股、融资融券、深股通、近期新高、中证500、半导体概念、大盘股、数据中心、历史新高 、汽车电子,81.000,891.00,829.19,12.58,1.21,2028.89万,15.10,30.5161,2021.19亿,1437.42亿
20,002428,云南锗业,130.10,5.70,A股,云南锗业,10.00,141.95亿,123.04亿,有色金属-小金属-其他小金属,有色金属-小金属-其他小金属,国产芯片、中盘股、西部大开发、昨日高振幅、光通信模块、第三代半导体、深成500、华为概念、最近多板、通信技术、东方财富热股、昨日高换手、百日新高 、小金属概念、富时罗素、题材股、军工、稀缺资源、融资融券、深股通、近期新高、中盘成长、2025年报预减、商业航天、金属回收、半导体概念、光伏概念、氟化工概念、历史新高 、卫星导航、光纤概念,7.010,132.88,123.09,14.53,0.99,9490.93万,2332.54,57.8350,849.71亿,849.60亿
21,300394,天孚通信,341.97,5.13,A股,天孚通信,4.57,141.42亿,259.21亿,通信-通信设备-通信网络设备及器件,通信-通信设备-通信网络设备及器件,专精特新、5G概念、深证100R、贬值受益、深成500、华为概念、通信技术、HS300_、大盘成长、CPO概念、无人驾驶、科技风格、富时罗素、2025年报预增、MSCI中国、融资融券、深股通、算力概念、大盘股、先进封装、MPO连接器、数据中心、英伟达概念、光纤概念、创业板综,16.690,346.00,312.00,7.32,1.60,7966.90万,189.46,68.2360,3730.29亿,3721.96亿
22,600183,生益科技,187.20,5.58,A股,生益科技,5.62,135.97亿,131.80亿,电子-元件-印制电路板,电子-元件-印制电路板,国产芯片、5G概念、周期股、昨日高振幅、上证180_、光通信模块、新能源车、存储芯片、标准普尔、华为概念、通信技术、东方财富热股、趋势股、HS300_、大盘成长、2025三季报预增、毫米波概念、CPO概念、科技风格、富时罗素、2025年报预增、MSCI中国、题材股、融资融券、沪股通、商业航天、大盘股、先进封装、PCB、上证50_、先进封装材料、汽车电子、MiniLED,9.900,188.00,175.18,2.99,0.77,7154.99万,98.16,28.4483,4547.31亿,4482.51亿
23,300750,宁德时代,401.90,1.65,A股,宁德时代,0.73,135.21亿,129.00亿,电力设备-电池-锂电池,电力设备-电池-锂电池,钠离子电池、周期股、深证100R、新能源车、深成500、宁德时代概念、先进制造风格、华为概念、长安汽车概念、电池技术、HS300_、固态电池、储能概念、蚂蚁概念、富时罗素、MSCI中国、动力电池回收、宁组合、权重股、融资融券、行业龙头、华为汽车、深股通、大盘股、麒麟电池、小米汽车、换电概念、锂电池概念、茅指数、创业板综、锂矿概念、特斯拉概念,6.540,402.55,392.58,0.76,0.83,3240.46万,22.42,5.6895,1.86万亿,1.71万亿
24,300476,胜宏科技,350.16,1.96,A股,胜宏科技,1.55,128.42亿,181.28亿,电子-元件-印制电路板,电子-元件-印制电路板,国产芯片、粤港澳大湾区、5G概念、周期股、东数西算、深证100R、乡村振兴、AIPC、贬值受益、新能源车、深成500、小米概念、通信技术、HS300_、大盘成长、摩尔链、CPO概念、OLED、科技风格、富时罗素、富士康概念、2025年报预增、物联网、MSCI中国、机器人概念、AI手机、融资融券、行业龙头、深股通、虚拟现实、大盘股、PCB、数据中心、英伟达概念、光伏概念、人形机器人、智能电网、海峡两岸、创业板综、汽车电子、特斯拉概念,6.730,355.00,337.58,6.02,1.14,5205.57万,66.77,21.9697,3441.32亿,3029.57亿
25,603259,药明康德,117.22,1.58,A股,药明康德,8.55,125.66亿,88.90亿,医药生物-医疗服务-医疗研发外包,医药生物-医疗服务-医疗研发外包,CRO、昨日高振幅、上证180_、贬值受益、标准普尔、东方财富热股、医药医疗风格、HS300_、百日新高 、独角兽、富时罗素、创新药、2025年报预增、MSCI中国、CAR-T细胞疗法、创新医疗服务、宁组合、权重股、融资融券、行业龙头、近期新高、昨日触板、沪股通、大盘股、上证50_、茅指数、昨日炸板,1.820,118.50,113.23,3.09,1.26,7643.44万,18.80,4.3989,3497.56亿,2899.18亿
26,301308,江波龙,677.30,9.25,A股,江波龙,4.02,123.72亿,180.14亿,电子-半导体-数字芯片设计,电子-半导体-数字芯片设计,国产芯片、专精特新、深证100R、AIPC、贬值受益、国家大基金持股、长江存储、存储芯片、深成500、小米概念、华为概念、东方财富热股、智能穿戴、消费电子概念、HS300_、AI手机结构件、信创、科技风格、2025年报预增、MSCI中国、AI手机、机器人概念、华为鲲鹏、数据安全、融资融券、AI眼镜、深股通、智能座舱、半导体概念、大盘股、先进封装、数据中心、长鑫存储、小米汽车、创业板综、DRAM存储、EDR概念,57.320,688.80,640.00,9.57,1.17,2697.07万,18.55,24.0667,2865.39亿,1908.98亿
27,002185,华天科技,22.40,6.77,A股,华天科技,7.37,122.01亿,120.77亿,电子-半导体-集成电路封测,电子-半导体-集成电路封测,国产芯片、中盘股、5G概念、西部大开发、昨日高振幅、国家大基金持股、第三代半导体、氮化镓、存储芯片、标准普尔、深成500、华为概念、通信技术、东方财富热股、昨日高换手、高带宽内存、CPO概念、毫米波概念、人工智能、无人驾驶、富时罗素、物联网、MSCI中国、机器人概念、华为海思、融资融券、深股通、智能座舱、中证500、半导体概念、先进封装、比亚迪概念、先进封装材料、汽车芯片、传感器、汽车电子,1.420,22.65,20.73,16.50,1.07,5.48亿,214.45,4.1719,744.45亿,744.27亿
28,300604,长川科技,309.99,0.86,A股,长川科技,10.00,118.69亿,99.59亿,电子-半导体-半导体设备,电子-半导体-半导体设备,国产芯片、题材股、专精特新、融资融券、两岸合作、昨日高振幅、深股通、近期新高、国家大基金持股、中证500、半导体概念、存储芯片、深成500、大盘股、东方财富热股、大盘成长、2025三季报预增、历史新高 、百日新高 、海峡两岸、创业板综、科技风格、2025年报预增、MSCI中国,2.640,316.50,298.90,6.62,0.99,3242.29万,139.46,39.1003,1966.63亿,1517.31亿
29,000657,中钨高新,105.68,5.60,A股,中钨高新,-2.36,118.46亿,107.09亿,有色金属-小金属-钨,有色金属-小金属-钨,周期股、工业母机、深证100R、乡村振兴、昨日高振幅、海南自贸、金属钴、雅下水电概念、深成500、东方财富热股、创投、趋势股、HS300_、2026一季报预增、央国企改革、DeepSeek概念、小金属概念、富时罗素、中字头、MSCI中国、题材股、金属铜、军工、医疗器械概念、融资融券、深股通、养老金、金属回收、大盘股、PCB、光伏概念、新材料、可控核聚变、金属钨、高端装备、盾构机,5.600,107.58,98.00,7.08,0.95,1.03亿,65.36,22.5384,2408.03亿,1535.45亿
30,688012,中微公司,399.13,4.21,A股,中微公司,3.03,118.26亿,119.03亿,电子-半导体-半导体设备,电子-半导体-半导体设备,国产芯片、LED概念、区块链、上证180_、国家大基金持股、工业互联、存储芯片、HS300_、大盘成长、中芯概念、高带宽内存、科创板做市股、科技风格、富时罗素、MSCI中国、宁组合、融资融券、沪股通、半导体概念、大盘股、先进封装、上证50_、股权激励、先进封装设备、长江三角、MiniLED,16.130,412.50,388.01,3.17,0.99,2967.57万,100.48,14.6816,3739.74亿,3739.74亿
31,300285,国瓷材料,98.40,7.28,A股,国瓷材料,1.04,117.87亿,147.38亿,电子-电子化学品Ⅱ-电子化学品Ⅲ,电子-电子化学品Ⅱ-电子化学品Ⅲ,国产芯片、中盘股、5G概念、新能源车、3D打印、深成500、节能环保、宁德时代概念、电池技术、趋势股、消费电子概念、固态电池、CPO概念、科技风格、富时罗素、牙科医疗、MLCC、题材股、融资融券、深股通、中盘成长、中证500、商业航天、蓝宝石、被动元件概念、氢能源、新材料、卫星导航、比亚迪概念、锂电池概念、创业板综,6.680,100.98,87.00,18.00,1.04,1.54亿,172.40,13.7969,981.10亿,840.01亿
32,300475,香农芯创,306.25,5.75,A股,香农芯创,2.15,116.58亿,170.08亿,电子-其他电子Ⅱ-其他电子Ⅲ,电子-其他电子Ⅱ-其他电子Ⅲ,国产芯片、粤港澳大湾区、中盘股、融资融券、东数西算、行业龙头、深股通、贬值受益、抖音概念、中盘成长、中证500、半导体概念、存储芯片、深成500、芯片分销、数据中心、腾讯概念、高带宽内存、2026一季报预增、创业板综、科技风格、2025年报预增、MSCI中国、阿里概念,16.650,313.80,291.02,12.47,1.13,5613.90万,27.08,29.1454,1437.97亿,1378.23亿
33,002281,光迅科技,261.46,-1.84,A股,光迅科技,-0.20,112.28亿,145.59亿,通信-通信设备-通信网络设备及器件,通信-通信设备-通信网络设备及器件,国产芯片、光芯片、5G概念、东数西算、OCS交换机、光通信模块、抖音概念、标准普尔、深成500、华为概念、通信技术、东方财富热股、大盘成长、腾讯概念、央国企改革、百度概念、CPO概念、量子通信、科技风格、富时罗素、MSCI中国、阿里概念、量子科技、激光雷达、6G概念、融资融券、液冷概念、深股通、字节系算力、量子测量、中证500、F5G概念、大盘股、先进封装、华为系算力、数据中心、一带一路、光纤概念、6G元器件、湖北三资改革、湖北自贸,-4.900,271.12,256.00,7.11,1.13,5548.57万,225.46,15.6508,2163.75亿,2040.69亿
34,600176,中国巨石,70.80,9.23,A股,中国巨石,9.99,108.07亿,148.77亿,建筑材料-玻璃玻纤-玻纤制造,建筑材料-玻璃玻纤-玻纤制造,周期股、昨日高振幅、上证180_、标准普尔、最近多板、东方财富热股、HS300_、2026一季报预增、央国企改革、百日新高 、DeepSeek概念、中字头、富时罗素、PEEK材料概念、MSCI中国、题材股、融资融券、行业龙头、近期新高、昨日首板、养老金、沪股通、电子布、大盘股、PCB、光伏概念、新材料、历史新高 、一带一路、中欧经济一体化、风能、长江三角,5.980,71.30,65.66,5.37,1.06,2.15亿,55.92,8.9880,2834.22亿,2834.22亿
35,601869,长飞光纤,575.00,-0.86,A股,长飞光纤,1.65,107.82亿,104.47亿,通信-通信设备-通信线缆及配套,通信-通信设备-通信线缆及配套,光纤光缆、国产芯片、专精特新、5G概念、海工装备、东数西算、昨日高振幅、光通信模块、抖音概念、新能源车、工业互联、第三代半导体、标准普尔、铜缆高速连接、最近多板、通信技术、东方财富热股、趋势股、创投、大盘成长、空芯光纤、百日新高 、CPO概念、量子通信、科技风格、富时罗素、MSCI中国、机器人概念、量子科技、题材股、融资融券、近期新高、超清视频、上证380、中证500、沪股通、特高压、大盘股、碳化硅、数据中心、历史新高 、人形机器人、光纤概念、一带一路、智能电网、太赫兹、风能,-5.000,600.00,565.00,4.43,1.13,1801.20万,240.36,33.4491,4760.45亿,2336.45亿
36,600105,永鼎股份,72.96,6.14,A股,永鼎股份,10.00,105.12亿,94.55亿,通信-通信设备-通信线缆及配套,通信-通信设备-通信线缆及配套,国产芯片、中盘股、海工装备、3D打印、磁悬浮概念、东方财富热股、趋势股、富时罗素、超导材料、题材股、军工、融资融券、低空经济、华为汽车、昨日首板、中盘成长、商业航天、网络安全、数据中心、超导概念、光纤概念、长江三角、大数据、光芯片、光纤光缆、专精特新、5G概念、东数西算、昨日高振幅、光通信模块、新能源车、工业互联、标准普尔、华为概念、最近多板、通信技术、核能核电、百日新高 、CPO概念、科技风格、2025年报预增、MSCI中国、数据安全、近期新高、中证500、沪股通、历史新高 、可控核聚变、一带一路、比亚迪概念、3D打印设备、风能、参股银行,4.220,73.97,68.10,9.03,0.88,1.32亿,167.90,32.3599,1066.67亿,1066.67亿
37,300136,信维通信,116.73,13.20,A股,信维通信,8.00,103.33亿,170.88亿,电子-消费电子-消费电子零部件及组装,电子-消费电子-消费电子零部件及组装,国产芯片、中盘股、贬值受益、深圳特区、深成500、智能穿戴、央视50_、富时罗素、无线充电、MLCC、物联网、机器人概念、低空经济、融资融券、无人机、商业航天、苹果概念、智能音箱、被动元件概念、卫星导航、无线耳机、粤港澳大湾区、5G概念、昨日高振幅、电子烟、车联网、柔性屏、华为概念、通信技术、消费电子概念、越疆机器人、毫米波概念、混合现实、科技风格、富士康概念、MSCI中国、卫星互联网、6G概念、AI眼镜、深股通、虚拟现实、卫星通信、中证500、UWB概念、一带一路、海峡两岸、创业板综、WiFi6、WiFi、汽车电子、特斯拉概念,13.610,117.56,102.30,18.90,1.33,1.56亿,269.20,14.1624,1129.44亿,963.26亿
38,300857,协创数据,341.98,0.53,A股,协创数据,10.99,100.61亿,79.77亿,电子-消费电子-消费电子零部件及组装,电子-消费电子-消费电子零部件及组装,国产芯片、贬值受益、网络游戏、短剧互动游戏、存储芯片、深圳特区、深成500、AI智能体、智能穿戴、大盘成长、腾讯概念、2026一季报预增、AI应用、物联网、阿里概念、云游戏、机器人概念、融资融券、AIGC概念、智能音箱、数据中心、英伟达概念、大数据、光芯片、粤港澳大湾区、5G概念、东数西算、昨日高振幅、光通信模块、车联网、小米概念、通信技术、消费电子概念、跨境电商、算力租赁、百日新高 、智能家居、CPO概念、DeepSeek概念、人工智能、科技风格、2025年报预增、MSCI中国、人脸识别、云计算、安防概念、AI眼镜、深股通、算力概念、近期新高、中证500、净水概念、大盘股、人形机器人、历史新高 、创业板综、汽车电子、EDR概念,1.790,355.55,333.39,4.82,0.70,2346.18万,55.76,32.6921,1673.52亿,1664.96亿
