序号,代码,名称,最新价(元) 11:19,涨跌幅(%) 11:19,证券类型,涨跌幅(%) 2026.07.06,成交额(元) 2026.07.06,成交额(元) 11:19,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 11:19,最高价(元) 11:19,最低价(元) 11:19,换手率(%) 11:19,量比 11:19,成交量(股) 11:19,市盈率(动)(倍) 2026.07.10,市净率(倍) 2026.07.10,总市值(元) 2026.07.10,流通市值(元) 2026.07.10
14,300223,北京君正,231.38,-1.97,A股,-2.53,134.77亿,56.44亿,电子-半导体-数字芯片设计,北京君正,电子-半导体-数字芯片设计,国产芯片、中盘股、区块链、鸿蒙概念、贬值受益、抖音概念、CPU、3D打印、存储芯片、深成500、小米概念、智能穿戴、消费电子概念、SRAM存储、京津冀一体化、智能家居、毫米波概念、人工智能、无人驾驶、OLED、科技风格、富时罗素、MCU芯片、物联网、MSCI中国、人脸识别、机器人概念、安防概念、融资融券、AI眼镜、深股通、超清视频、智能座舱、中证500、半导体概念、智能音箱、机器视觉、3D打印设备、创业板综、汽车芯片、传感器、DRAM存储、汽车电子、MiniLED,-4.640,244.92,229.17,5.64,1.08,2377.77万,87.79,8.8355,1120.12亿,976.60亿
15,600522,中天科技,47.30,0.34,A股,-4.36,131.36亿,110.70亿,通信-通信设备-通信线缆及配套,中天科技,通信-通信设备-通信线缆及配套,国产芯片、海工装备、数字经济、上证180_、3D打印、铜缆高速连接、东方财富热股、空芯光纤、碳纤维、OLED、央视50_、富时罗素、物联网、阿里概念、机器人概念、数据要素、中越经济一体化、融资融券、低空经济、液冷概念、商业航天、绿色电力、半导体概念、特高压、PCB、数据中心、光伏概念、铁路基建、超导概念、光纤概念、智能电网、石墨烯、海洋经济、长江三角、碳中和、大数据、光纤光缆、数据中心液冷、5G概念、东数西算、昨日高振幅、证金持股、光通信模块、新能源车、钙钛矿电池、工业互联、标准普尔、航运概念、华为概念、通信技术、创投、电池技术、HS300_、固态电池、储能概念、核能核电、CPO概念、DeepSeek概念、超级电容、科技风格、海底电缆、MSCI中国、电网概念、量子科技、6G概念、充电桩、沪股通、参股券商、大盘股、PET铜箔、新能源、氢能源、系统集成、新材料、可控核聚变、一带一路、锂电池概念、中欧经济一体化、阿里系算力、风能、参股银行、汽车电子、柔性直流输电,0.160,49.78,47.00,6.71,1.99,2.29亿,43.91,4.3473,1613.98亿,1613.98亿
16,688981,中芯国际,171.40,-0.92,A股,2.62,127.37亿,111.83亿,电子-半导体-集成电路制造,中芯国际,电子-半导体-集成电路制造,国产芯片、昨日高振幅、上证180_、国家大基金持股、存储芯片、东方财富热股、消费电子概念、HS300_、中芯概念、科创板做市股、百日新高 、中国AI 50、科技风格、OLED、物联网、MSCI中国、上海自贸、题材股、权重股、融资融券、行业龙头、近期新高、沪股通、半导体概念、大盘股、上证50_、历史新高 、茅指数、汽车电子,-1.600,176.34,168.80,3.24,1.47,6469.20万,269.66,9.8011,1.47万亿,3429.45亿
17,002407,多氟多,42.63,-2.34,A股,-7.05,125.74亿,59.18亿,基础化工-化学制品-氟化工,多氟多,基础化工-化学制品-氟化工,钠离子电池、国产芯片、六氟磷酸锂、中盘股、昨日高振幅、化工原料、新能源车、第三代半导体、工业互联、标准普尔、深成500、存储芯片、东方财富热股、创投、昨日高换手、电池技术、固态电池、储能概念、核能核电、中芯概念、PVDF概念、独角兽、富时罗素、动力电池回收、题材股、中盘价值、数字孪生、融资融券、2025年报扭亏、深股通、中证500、硅能源、半导体概念、氟化工概念、新材料、锂电池概念、比亚迪概念、氢氟酸、股权激励、特斯拉概念,-1.020,45.69,42.53,12.42,1.44,1.34亿,33.79,5.9444,507.60亿,459.99亿
18,688041,海光信息,375.34,3.27,A股,4.18,124.18亿,132.22亿,电子-半导体-数字芯片设计,海光信息,电子-半导体-数字芯片设计,国产芯片、专精特新、东数西算、上证180_、抖音概念、CPU、水利建设、GPU、AI芯片、趋势股、HS300_、大盘成长、腾讯概念、信创、百度概念、DeepSeek概念、人工智能、中国AI 50、科技风格、MSCI中国、阿里概念、量子科技、权重股、融资融券、算力概念、沪股通、半导体概念、大盘股、上证50_、阿里系算力,11.880,395.17,365.87,1.49,2.24,3473.26万,317.15,37.6532,8716.50亿,8716.50亿
19,688012,中微公司,470.01,-0.34,A股,1.53,123.65亿,104.34亿,电子-半导体-半导体设备,中微公司,电子-半导体-半导体设备,国产芯片、LED概念、区块链、上证180_、国家大基金持股、工业互联、存储芯片、东方财富热股、趋势股、HS300_、大盘成长、中芯概念、高带宽内存、科创板做市股、科技风格、富时罗素、MSCI中国、题材股、宁组合、融资融券、沪股通、半导体概念、大盘股、先进封装、上证50_、股权激励、先进封装设备、长江三角、MiniLED,-1.580,492.05,467.13,2.31,1.59,2178.50万,120.30,16.3620,4477.62亿,4428.33亿
20,002371,北方华创,873.32,-0.58,A股,-1.52,121.93亿,88.60亿,电子-半导体-半导体设备,北方华创,电子-半导体-半导体设备,国产芯片、深证100R、昨日高振幅、长江存储、国家大基金持股、第三代半导体、氮化镓、存储芯片、标准普尔、深成500、华为概念、东方财富热股、电池技术、趋势股、HS300_、大盘成长、中芯概念、高带宽内存、光刻机/胶、央国企改革、中国AI 50、OLED、科技风格、富时罗素、MSCI中国、题材股、宁组合、权重股、华为海思、融资融券、深股通、半导体概念、大盘股、光伏概念、锂电池概念、茅指数,-5.110,905.00,870.00,1.37,1.44,995.76万,96.81,16.3402,6330.40亿,6325.35亿
21,603259,药明康德,126.00,4.07,A股,-0.93,115.19亿,53.70亿,医药生物-医疗服务-医疗研发外包,药明康德,医药生物-医疗服务-医疗研发外包,CAR-T细胞疗法、CRO、创新医疗服务、宁组合、权重股、融资融券、行业龙头、上证180_、贬值受益、沪股通、标准普尔、大盘股、医药医疗风格、HS300_、上证50_、茅指数、独角兽、富时罗素、创新药、2025年报预增、MSCI中国,4.930,126.73,120.00,1.75,1.39,4330.33万,20.21,4.7288,3759.83亿,3116.58亿
22,300394,天孚通信,283.80,4.53,A股,-5.24,111.09亿,120.26亿,通信-通信设备-通信网络设备及器件,天孚通信,通信-通信设备-通信网络设备及器件,专精特新、5G概念、深证100R、贬值受益、深成500、华为概念、通信技术、东方财富热股、HS300_、大盘成长、CPO概念、无人驾驶、科技风格、富时罗素、2025年报预增、MSCI中国、融资融券、深股通、算力概念、大盘股、MPO连接器、先进封装、数据中心、英伟达概念、光纤概念、创业板综,12.300,291.80,279.00,3.87,2.01,4208.55万,157.30,56.6528,3097.07亿,3090.15亿
23,300408,三环集团,133.40,-0.31,A股,-2.18,110.96亿,68.32亿,电子-元件-被动元件,三环集团,电子-元件-被动元件,5G概念、周期股、深证100R、证金持股、燃料电池概念、光通信模块、深成500、华为概念、小米概念、通信技术、智能穿戴、电池技术、消费电子概念、HS300_、大盘成长、CPO概念、科技风格、富时罗素、MLCC、MSCI中国、融资融券、深股通、大盘股、被动元件概念、数据中心、新材料、光纤概念、创业板综、SOFC,-0.410,144.49,133.00,2.64,1.48,4939.12万,83.88,12.3213,2653.60亿,2496.00亿
24,600667,太极实业,26.66,1.48,A股,-8.51,108.44亿,83.66亿,建筑装饰-工程咨询服务Ⅱ-工程咨询服务Ⅲ,太极实业,建筑装饰-工程咨询服务Ⅱ-工程咨询服务Ⅲ,国产芯片、昨日高振幅、存储芯片、标准普尔、工程建设、最近多板、东方财富热股、昨日高换手、央国企改革、OLED、富时罗素、题材股、融资融券、昨日首板、上证380、沪股通、绿色电力、半导体概念、先进封装、数据中心、光伏概念、小盘股、小盘成长、长江三角、光伏建筑一体化,0.390,27.95,26.39,14.67,1.87,3.07亿,108.08,6.4859,558.23亿,558.23亿
25,601899,紫金矿业,28.25,2.28,A股,1.65,105.78亿,49.45亿,有色金属-工业金属-铜,紫金矿业,有色金属-工业金属-铜,周期股、上证180_、证金持股、贬值受益、金属钴、2026中报预增、黄金加工、标准普尔、黄金开采、东方财富热股、金属锌、HS300_、盐湖提锂、央国企改革、金属铅、小金属概念、富时罗素、2025年报预增、MSCI中国、黄金概念、金属铜、福建自贸区、权重股、稀缺资源、融资融券、行业龙头、沪股通、大盘股、氢能源、铜矿、上证50_、一带一路、锂电池概念、锂矿概念,0.630,28.45,27.08,0.87,1.23,1.78亿,9.35,3.9646,7511.88亿,5820.01亿
26,300475,香农芯创,276.58,3.21,A股,0.28,104.40亿,77.54亿,电子-其他电子Ⅱ-其他电子Ⅲ,香农芯创,电子-其他电子Ⅱ-其他电子Ⅲ,国产芯片、中盘股、融资融券、东数西算、行业龙头、深股通、贬值受益、抖音概念、中盘成长、中证500、半导体概念、存储芯片、深成500、芯片分销、数据中心、腾讯概念、高带宽内存、2026一季报预增、创业板综、科技风格、2025年报预增、MSCI中国、阿里概念,8.600,283.10,263.02,6.27,1.72,2820.02万,24.53,26.6031,1302.27亿,1248.17亿
27,002050,三花智控,44.06,2.82,A股,-5.80,103.29亿,34.33亿,家用电器-家电零部件Ⅱ-家电零部件Ⅲ,三花智控,家用电器-家电零部件Ⅱ-家电零部件Ⅲ,深证100R、新能源车、燃料电池概念、标准普尔、深成500、宁德时代概念、小米概念、长安汽车概念、电池技术、HS300_、大盘成长、智能家居、DeepSeek概念、富时罗素、MSCI中国、机器人概念、融资融券、华为汽车、行业龙头、液冷概念、微通道水冷板、深股通、大盘股、数据中心、消费风格、人形机器人、空气能热泵、比亚迪概念、一带一路、股权激励、汽车热管理、机器人执行器、长江三角、冷链物流、特斯拉概念,1.210,44.69,42.85,2.13,0.93,7850.22万,49.98,5.8962,1854.47亿,1623.63亿
28,300476,胜宏科技,292.61,-1.38,A股,-4.97,103.16亿,74.79亿,电子-元件-印制电路板,胜宏科技,电子-元件-印制电路板,国产芯片、5G概念、周期股、东数西算、深证100R、乡村振兴、AIPC、贬值受益、新能源车、深成500、小米概念、通信技术、HS300_、大盘成长、CPO概念、摩尔链、OLED、科技风格、富时罗素、富士康概念、2025年报预增、物联网、MSCI中国、机器人概念、AI手机、权重股、融资融券、行业龙头、深股通、虚拟现实、大盘股、PCB、数据中心、英伟达概念、光伏概念、人形机器人、海峡两岸、智能电网、创业板综、汽车电子、特斯拉概念,-4.090,305.45,292.02,2.90,1.73,2506.10万,55.83,18.3677,2877.10亿,2532.86亿
29,688017,XD绿的谐,426.11,4.42,A股,-6.97,102.96亿,50.21亿,机械设备-自动化设备-机器人,绿的谐波,机械设备-自动化设备-机器人,专精特新、中盘股、医疗器械概念、融资融券、中盘成长、上证380、中证500、沪股通、半导体概念、新型工业化、先进制造风格、新能源、人形机器人、中国AI 50、2025年报预增、减速器、机器人执行器、机器人概念,18.040,437.51,390.99,6.57,1.30,1204.39万,598.44,22.1279,781.19亿,781.19亿
30,600276,恒瑞医药,56.97,2.45,A股,4.26,101.53亿,46.63亿,医药生物-化学制药-化学制剂,恒瑞医药,医药生物-化学制药-化学制剂,上证180_、证金持股、标准普尔、医药医疗风格、创投、HS300_、大盘成长、仿制药一致性评价、医药电商、中药概念、眼科医疗、央视50_、辅助生殖、富时罗素、创新药、MSCI中国、细胞免疫治疗、权重股、医疗器械概念、融资融券、GLP-1制剂、沪股通、绿色电力、大盘股、上证50_、单抗概念、茅指数、股权激励、减肥药、智能医疗、PD-1,1.360,57.48,54.55,1.30,1.50,8290.08万,41.41,6.0633,3780.55亿,3633.48亿
31,301526,国际复材,39.30,1.16,A股,-13.47,101.32亿,59.89亿,建筑材料-玻璃玻纤-玻纤制造,国际复材,建筑材料-玻璃玻纤-玻纤制造,中盘股、5G概念、西部大开发、数字经济、工业互联、深成500、华为概念、通信技术、消费电子概念、央国企改革、PEEK材料概念、融资融券、2025年报扭亏、深股通、中盘成长、中证500、华为手机、绿色电力、电子布、特高压、PCB、光伏概念、一带一路、创业板综、风能、汽车电子,0.450,43.00,39.01,10.43,1.63,1.47亿,137.44,17.5566,1485.35亿,553.19亿
32,000938,紫光股份,39.25,10.01,A股,10.01,99.34亿,98.88亿,计算机-IT服务Ⅱ-IT服务Ⅲ,紫光股份,计算机-IT服务Ⅱ-IT服务Ⅲ,国产芯片、国资云概念、区块链、深证100R、数字经济、OCS交换机、抖音概念、参股新三板、深成500、AI智能体、东方财富热股、昨日高换手、趋势股、AI应用、国产操作系统、中国AI 50、富时罗素、物联网、阿里概念、机器人概念、数据要素、题材股、智慧政务、融资融券、液冷概念、AIGC概念、网络安全、数据中心、英伟达概念、大数据、5G概念、东数西算、IPv6、昨日高振幅、车联网、数字乡村、标准普尔、通信技术、创投、HS300_、数据存储、算力租赁、百日新高 、CPO概念、DeepSeek概念、人工智能、科技风格、MSCI中国、云计算、数据安全、安防概念、6G概念、数字孪生、微通道水冷板、深股通、算力概念、近期新高、IaaS、智慧城市、大盘股、互联网服务、WiFi6、WiFi,3.570,39.25,36.20,9.07,1.61,2.60亿,35.62,7.3174,1122.58亿,1122.58亿
33,002463,沪电股份,134.85,-1.78,A股,-4.82,97.62亿,66.04亿,电子-元件-印制电路板,沪电股份,电子-元件-印制电路板,国产芯片、5G概念、周期股、深证100R、昨日高振幅、贬值受益、新能源车、标准普尔、深成500、华为概念、通信技术、污水处理、HS300_、大盘成长、2026一季报预增、毫米波概念、无人驾驶、科技风格、富时罗素、MSCI中国、融资融券、深股通、台资控股、大盘股、PCB、数据中心、海峡两岸、服务器PCB、汽车电子、通信PCB,-2.450,141.89,134.31,2.48,1.52,4769.07万,52.23,16.3953,2595.00亿,2592.91亿
34,600183,生益科技,155.10,-1.46,A股,-4.05,95.16亿,69.11亿,电子-元件-印制电路板,生益科技,电子-元件-印制电路板,国产芯片、5G概念、周期股、昨日高振幅、上证180_、新能源车、光通信模块、存储芯片、标准普尔、华为概念、通信技术、东方财富热股、HS300_、大盘成长、2025三季报预增、毫米波概念、CPO概念、科技风格、富时罗素、2025年报预增、MSCI中国、融资融券、沪股通、商业航天、大盘股、先进封装、PCB、上证50_、先进封装材料、汽车电子、MiniLED,-2.300,163.48,154.44,1.81,1.59,4333.35万,81.40,23.5914,3770.96亿,3717.22亿
35,000657,中钨高新,76.82,1.09,A股,-10.00,91.38亿,40.45亿,有色金属-小金属-钨,中钨高新,有色金属-小金属-钨,周期股、工业母机、深证100R、乡村振兴、昨日高振幅、海南自贸、金属钴、雅下水电概念、深成500、创投、HS300_、2026一季报预增、央国企改革、DeepSeek概念、小金属概念、富时罗素、中字头、MSCI中国、军工、金属铜、医疗器械概念、融资融券、深股通、养老金、金属回收、大盘股、PCB、光伏概念、新材料、可控核聚变、金属钨、高端装备、盾构机,0.830,80.11,75.33,3.58,1.38,5203.63万,47.69,17.2936,1757.03亿,1120.35亿
36,002747,埃斯顿,43.04,3.64,A股,2.81,90.48亿,48.84亿,机械设备-自动化设备-机器人,埃斯顿,机械设备-自动化设备-机器人,专精特新、工业母机、工业互联、深成500、宁德时代概念、新型工业化、长安汽车概念、东方财富热股、昨日高换手、趋势股、农机、人工智能、富时罗素、机器人概念、医疗器械概念、融资融券、2025年报扭亏、深股通、养老概念、小盘股、光伏概念、机器视觉、人形机器人、比亚迪概念、高端装备、小盘成长、智能医疗,1.510,43.98,40.30,14.81,1.81,1.16亿,106.44,12.8650,416.54亿,336.75亿
37,000021,深科技,61.04,8.53,A股,-4.67,89.81亿,121.98亿,电子-消费电子-消费电子零部件及组装,深科技,电子-消费电子-消费电子零部件及组装,国产芯片、中盘股、区块链、昨日高振幅、数字经济、贬值受益、新能源车、光通信模块、第三代半导体、存储芯片、标准普尔、深圳特区、深成500、最近多板、东方财富热股、消费电子概念、储能概念、央国企改革、CPO概念、超级电容、科技风格、富时罗素、物联网、MSCI中国、电网概念、机器人概念、题材股、医疗器械概念、融资融券、深股通、虚拟电厂、昨日首板、无人机、中盘成长、中证500、半导体概念、先进封装、智能电网、先进封装材料、智能物流、汽车电子、DRAM存储,4.800,61.86,59.02,12.65,2.37,1.99亿,99.27,7.3892,961.63亿,961.49亿
38,000100,TCL科技,5.29,-1.31,A股,-8.14,87.52亿,44.59亿,电子-光学光电子-面板,TCL科技,电子-光学光电子-面板,屏下摄像、国产芯片、周期股、电子纸概念、深证100R、昨日高振幅、AIPC、证金持股、工业互联、标准普尔、深成500、柔性屏、AI芯片、华为概念、小米概念、东方财富热股、消费电子概念、HS300_、MicroLED、超级品牌、OLED、科技风格、富时罗素、2025年报预增、MSCI中国、融资融券、AI眼镜、显示技术、深股通、虚拟现实、绿色电力、硅能源、半导体概念、大盘股、PCB、光伏概念、比亚迪概念、参股银行、MiniLED,-0.070,5.49,5.28,4.12,1.27,8.28亿,17.67,1.8094,1100.37亿,1064.26亿
39,300059,东方财富,20.42,-0.83,A股,0.57,83.25亿,42.36亿,非银金融-证券Ⅱ-证券Ⅲ,东方财富,非银金融-证券Ⅱ-证券Ⅲ,区块链、周期股、鸿蒙概念、深证100R、参股期货、证金持股、互联网保险、深成500、东方财富热股、HS300_、互联网金融、AI应用、DeepSeek概念、人工智能、富时罗素、金融地产风格、网红经济、MSCI中国、数据要素、权重股、融资融券、深股通、虚拟机器人、AIGC概念、券商概念、大盘股、互联网服务、国产软件、茅指数、创业板综、长江三角、大数据,-0.170,20.45,20.10,1.57,1.23,2.09亿,21.61,3.4270,3230.89亿,2726.74亿
40,002475,立讯精密,64.57,0.17,A股,-2.42,82.16亿,53.60亿,电子-消费电子-消费电子零部件及组装,立讯精密,电子-消费电子-消费电子零部件及组装,国产芯片、周期股、DAC无源铜缆、深证100R、贬值受益、3D摄像头、深圳特区、深成500、铜缆高速连接、智能穿戴、CDU、无人驾驶、富时罗素、无线充电、机器人概念、融资融券、液冷概念、商业航天、苹果概念、智能音箱、数据中心、无线耳机、5G概念、昨日高振幅、电子烟、证金持股、转债标的、光通信模块、新能源车、标准普尔、华为概念、通信技术、消费电子概念、HS300_、智能家居、CPO概念、毫米波概念、混合现实、科技风格、HUD抬头显示、MSCI中国、权重股、AI眼镜、深股通、充电桩、虚拟现实、智能座舱、华为手机、大盘股、机器视觉、人形机器人、茅指数、海峡两岸、汽车电子,0.110,65.66,63.80,1.13,1.14,8287.52万,34.11,5.6510,4992.85亿,4734.20亿
41,300750,宁德时代,360.28,-4.05,A股,-1.44,81.67亿,88.62亿,电力设备-电池-锂电池,宁德时代,电力设备-电池-锂电池,钠离子电池、周期股、深证100R、新能源车、深成500、宁德时代概念、先进制造风格、华为概念、长安汽车概念、电池技术、HS300_、固态电池、储能概念、蚂蚁概念、富时罗素、MSCI中国、动力电池回收、宁组合、权重股、融资融券、行业龙头、华为汽车、深股通、大盘股、麒麟电池、小米汽车、换电概念、锂电池概念、茅指数、创业板综、锂矿概念、特斯拉概念,-15.220,375.20,360.02,0.57,2.00,2437.49万,20.10,5.1008,1.67万亿,1.53万亿
