序号,代码,名称,最新价(元) 10:28,涨跌幅(%) 10:28,证券类型,成交额(元) 10:28,申万行业分类,股票简称,东财行业总分类,概念,涨跌额(元) 10:28,最高价(元) 10:28,最低价(元) 10:28,换手率(%) 10:28,量比 10:28,成交量(股) 10:28,市盈率(动)(倍) 2026.07.10,市净率(倍) 2026.07.10,总市值(元) 2026.07.10,流通市值(元) 2026.07.10
11,688726,拉普拉斯,51.90,16.45,A股,5.70亿,电力设备-光伏设备-光伏加工设备,拉普拉斯,电力设备-光伏设备-光伏加工设备,国产芯片、BC电池、专精特新、融资融券、钙钛矿电池、注册制次新股、第三代半导体、沪股通、半导体概念、先进封装、TOPCON电池、光伏概念、小盘股、比亚迪概念、小盘成长、TOPCon电池,7.330,52.10,45.00,5.24,6.38,1153.15万,43.63,5.1459,210.16亿,114.03亿
12,300487,蓝晓科技,82.38,16.06,A股,13.77亿,基础化工-塑料-合成树脂,蓝晓科技,基础化工-塑料-合成树脂,国产芯片、专精特新、中盘股、西部大开发、转债标的、金属钴、存储芯片、深成500、节能环保、生物疫苗、趋势股、固废处理、盐湖提锂、工业大麻、小金属概念、MSCI中国、融资融券、原料耗材、深股通、中盘成长、中证500、养老金、净水概念、金属回收、半导体概念、碳交易、核污染防治、金属镍、第四代半导体、新材料、锂电池概念、比亚迪概念、创业板综、减肥药、锂矿概念、碳中和,11.400,83.90,74.35,5.57,4.96,1716.61万,57.60,9.6014,419.12亿,253.56亿
13,301117,佳缘科技,19.50,15.32,A股,4.27亿,计算机-计算机设备-安防设备,佳缘科技,计算机-计算机设备-安防设备,国产芯片、DRG/DIP、区块链、东数西算、西部大开发、数字经济、AI智能体、华为概念、军民融合、华为昇腾、DeepSeek概念、人工智能、互联医疗、军工、数据安全、智慧政务、军工信息化、安防概念、创新医疗服务、融资融券、移动支付、深股通、卫星测控、破发股、商业航天、网络安全、数据中心、国产软件、卫星导航、创业板综、汽车芯片、AI军工、智能医疗,2.590,19.85,15.86,20.96,19.07,2428.08万,-36.54,2.8517,35.34亿,22.64亿
14,300184,力源信息,17.88,14.76,A股,23.85亿,电子-其他电子Ⅱ-其他电子Ⅲ,力源信息,电子-其他电子Ⅱ-其他电子Ⅲ,国产芯片、长江存储、存储芯片、AI芯片、智能穿戴、腾讯概念、电力物联网、独角兽、OLED、富时罗素、MLCC、物联网、机器人概念、内贸流通、华为海思、融资融券、液冷概念、商业航天、半导体概念、芯片分销、小盘价值、PCB、数据中心、电商概念、光伏概念、长鑫存储、星闪概念、智能电网、汽车芯片、无线耳机、5G概念、元宇宙概念、车联网、第三代半导体、华为概念、小米概念、通信技术、消费电子概念、跨境电商、智能家居、人工智能、MCU芯片、2025年报预增、电网概念、6G概念、深股通、UWB概念、小盘股、ETC、比亚迪概念、创业板综、传感器、汽车电子、特斯拉概念,2.300,18.30,15.58,13.04,6.55,1.37亿,37.40,4.8745,205.45亿,188.10亿
15,688660,电气风电,9.00,14.21,A股,1.63亿,电力设备-风电设备-风电整机,电气风电,电力设备-风电设备-风电整机,小盘股、融资融券、海工装备、央国企改革、齿轮箱、小盘成长、沪股通、风能、沪企改革、新能源,1.120,9.00,7.81,1.46,4.27,1943.39万,-11.11,3.0944,120.00亿,120.00亿
16,301317,鑫磊股份,65.60,14.11,A股,3.61亿,机械设备-通用设备-其他通用设备,鑫磊股份,机械设备-通用设备-其他通用设备,专精特新、融资融券、共同富裕示范区、昨日高振幅、液冷概念、深股通、新能源车、磁悬浮压缩机、昨日触板、数据中心、昨日高换手、污水处理、空气能热泵、中俄贸易概念、创业板综、昨日炸板、人工智能、2025年报预增,8.110,65.60,56.92,11.19,3.64,583.83万,-132.45,8.7112,102.87亿,34.16亿
17,300911,亿田智能,22.19,13.79,A股,2.38亿,家用电器-厨卫电器-厨房电器,亿田智能,家用电器-厨卫电器-厨房电器,东数西算、融资融券、深股通、算力概念、转债标的、AIGC概念、腾讯概念、算力租赁、DeepSeek概念、创业板综、人工智能、阿里概念、超跌股,2.690,22.59,19.43,6.54,7.40,1120.87万,-28.73,3.7535,40.68亿,38.02亿
18,688584,上海合晶,45.70,13.48,A股,15.72亿,电子-半导体-半导体材料,上海合晶,电子-半导体-半导体材料,题材股、国产芯片、专精特新、融资融券、昨日高振幅、昨日首板、贬值受益、沪股通、半导体概念、最近多板、东方财富热股、小盘股、趋势股、半导体硅片,5.430,48.32,44.00,9.88,4.98,3392.81万,609.18,7.3494,305.82亿,156.89亿
19,301326,捷邦科技,144.60,13.23,A股,3.41亿,电子-消费电子-消费电子零部件及组装,捷邦科技,电子-消费电子-消费电子零部件及组装,国产芯片、融资融券、液冷概念、碳基材料、深股通、贬值受益、无人机、养老金、3D打印、苹果概念、宁德时代概念、电池技术、消费电子概念、固态电池、新材料、锂电池概念、比亚迪概念、3D打印设备、创业板综、富士康概念,16.900,151.01,138.51,3.25,7.09,234.55万,-176.04,8.5137,105.14亿,104.22亿
20,920227,美登科技,53.67,13.18,A股,4011.82万,计算机-IT服务Ⅱ-IT服务Ⅲ,美登科技,计算机-IT服务Ⅱ-IT服务Ⅲ,互联网服务、电商概念、融资融券、拼多多概念、AI应用、虚拟现实、抖音概念、ERP概念、快手概念、阿里概念、小红书概念,6.250,53.76,45.88,4.48,7.88,79.42万,44.90,5.3524,20.84亿,9.48亿
